,t,I,dI,a,da,y,dy
0,0.0,0.04969788,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
1,0.05,0.04963684,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
2,0.1,0.04956055,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
3,0.15,0.04934692,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
4,0.2,0.04981995,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
5,0.25,0.04960632,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
6,0.3,0.04953003,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
7,0.35,0.04951477,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
8,0.4,0.04943848,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
9,0.45,0.04934692,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
10,0.5,0.04901123,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
11,0.55,0.04934692,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
12,0.6,0.04940796,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
13,0.65,0.04986572,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
14,0.7,0.04983521,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
15,0.75,0.04977417,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
16,0.8,0.05012512,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
17,0.85,0.05030823,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
18,0.9,0.05073547,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
19,0.95,0.0508728,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
20,1.0,0.05090332,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
21,1.05,0.05104065,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
22,1.1,0.05123901,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
23,1.15,0.05131531,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
24,1.2,0.05172729,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
25,1.25,0.05189514,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
26,1.3,0.05192566,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
27,1.35,0.05195618,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
28,1.4,0.05172729,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
29,1.45,0.05169678,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
30,1.5,0.05162048,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
31,1.55,0.05174255,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
32,1.6,0.05168152,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
33,1.65,0.05166626,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
34,1.7,0.05152893,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
35,1.75,0.05143738,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
36,1.8,0.05102539,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
37,1.85,0.0514679,0.001,-0.0023562,0.0031415926535897933,-2.9587569188445467e-05,3.945e-05
38,1.9,0.05119324,0.001,-0.02670356,0.0031415926535897933,-0.0003353252818427,3.945e-05
39,1.95,0.05137634,0.001,-0.07225669,0.0031415926535897933,-0.0009073507404732,3.945e-05
40,2.0,0.05198669,0.001,-0.1272346,0.0031415926535897933,-0.001597726224711,3.945e-05
41,2.05,0.05158997,0.001,-0.14686957,0.0031415926535897933,-0.0018442889245616,3.945e-05
