,t,I,dI,a,da,y,dy
0,0.0,0.034729,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
1,0.05,0.03440857,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
2,0.1,0.03491211,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
3,0.15,0.03486633,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
4,0.2,0.03482056,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
5,0.25,0.03538513,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
6,0.3,0.03538513,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
7,0.35,0.03533936,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
8,0.4,0.03523254,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
9,0.45,0.03552246,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
10,0.5,0.03529358,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
11,0.55,0.03547668,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
12,0.6,0.03552246,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
13,0.65,0.03511047,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
14,0.7,0.03503418,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
15,0.75,0.03613281,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
16,0.8,0.03575134,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
17,0.85,0.03581238,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
18,0.9,0.03565979,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
19,0.95,0.03552246,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
20,1.0,0.03547668,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
21,1.05,0.03590393,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
22,1.1,0.03521729,0.001,0.0,0.0031415926535897933,0.0,3.945e-05
23,1.15,0.03547668,0.001,-0.00589049,0.0031415926535897933,-7.396879739786357e-05,3.945e-05
24,1.2,0.03530884,0.001,-0.02670356,0.0031415926535897933,-0.0003353252818427,3.945e-05
25,1.25,0.0353241,0.001,-0.02827436,0.0031415926535897933,-0.0003550503279683,3.945e-05
26,1.3,0.03541565,0.001,-0.03298675,0.0031415926535897933,-0.0004142253407719,3.945e-05
27,1.35,0.03504944,0.001,-0.04594583,0.0031415926535897933,-0.0005769567201619,3.945e-05
28,1.4,0.03495789,0.001,-0.06911509,0.0031415926535897933,-0.0008679006482219,3.945e-05
29,1.45,0.03465271,0.001,-0.08914276,0.0031415926535897933,-0.001119394609604,3.945e-05
30,1.5,0.03433228,0.001,-0.11309742,0.0031415926535897933,-0.0014202010607268,3.945e-05
