,t,I,dI,a,da,y,dy
65,3.25,0.04396057,0.001,0.0015708,0.0031415926535897933,1.972504612563031e-05,3.945e-05
66,3.3,0.04428101,0.001,0.0015708,0.0031415926535897933,1.972504612563031e-05,3.945e-05
67,3.35,0.04434204,0.001,0.0015708,0.0031415926535897933,1.972504612563031e-05,3.945e-05
68,3.4,0.04440308,0.001,0.0015708,0.0031415926535897933,1.972504612563031e-05,3.945e-05
69,3.45,0.04421997,0.001,0.0015708,0.0031415926535897933,1.972504612563031e-05,3.945e-05
70,3.5,0.04399109,0.001,0.0015708,0.0031415926535897933,1.972504612563031e-05,3.945e-05
71,3.55,0.04400635,0.001,0.0015708,0.0031415926535897933,1.972504612563031e-05,3.945e-05
72,3.6,0.04426575,0.001,0.0015708,0.0031415926535897933,1.972504612563031e-05,3.945e-05
73,3.65,0.04412842,0.001,-3.4694469499999995e-17,0.0031415926535897933,-4.356697295593162e-19,3.945e-05
74,3.7,0.04403687,0.001,-0.03141595,0.0031415926535897933,-0.0003945002946463,3.945e-05
75,3.75,0.04362488,0.001,-0.11113392,0.0031415926535897933,-0.0013955447530698,3.945e-05
76,3.8,0.04322815,0.001,-0.19477889,0.0031415926535897933,-0.0024459018268074,3.945e-05
77,3.85,0.04290771,0.001,-0.24347361,0.0031415926535897933,-0.0030573772521159,3.945e-05
78,3.9,0.04304504,0.001,-0.28902674,0.0031415926535897933,-0.0036294027107464,3.945e-05
79,3.95,0.04281616,0.001,-0.33811416,0.0031415926535897933,-0.0042458093975864,3.945e-05
80,4.0,0.0425415,0.001,-0.41311974,0.0031415926535897933,-0.0051876788432062,3.945e-05
81,4.05,0.04238892,0.001,-0.48184213,0.0031415926535897933,-0.0060506482298968,3.945e-05
82,4.1,0.04219055,0.001,-0.53407115,0.0031415926535897933,-0.006706505008988,3.945e-05
83,4.15,0.0422821,0.001,-0.5639163,0.0031415926535897933,-0.0070812802575087,3.945e-05
84,4.2,0.04217529,0.001,-0.57648268,0.0031415926535897933,-0.0072390803753673,3.945e-05
85,4.25,0.04248047,0.001,-0.59651035,0.0031415926535897933,-0.0074905743367493,3.945e-05
86,4.3,0.04188538,0.001,-0.60789863,0.0031415926535897933,-0.0076335806700136,3.945e-05
87,4.35,0.04211426,0.001,-0.61457452,0.0031415926535897933,-0.0077174119904743,3.945e-05
88,4.4,0.04150391,0.001,-0.628319,0.0031415926535897933,-0.0078900058929271,3.945e-05
89,4.45,0.04130554,0.001,-0.64206348,0.0031415926535897933,-0.0080625997953798,3.945e-05
90,4.5,0.04103088,0.001,-0.65659335,0.0031415926535897933,-0.0082450560953222,3.945e-05
91,4.55,0.04104614,0.001,-0.65816415,0.0031415926535897933,-0.0082647811414478,3.945e-05
92,4.6,0.0406189,0.001,-0.65816415,0.0031415926535897933,-0.0082647811414478,3.945e-05
93,4.65,0.04187012,0.001,-0.65031016,0.0031415926535897933,-0.0081661560363929,3.945e-05
94,4.7,0.04180908,0.001,-0.65031016,0.0031415926535897933,-0.0081661560363929,3.945e-05
95,4.75,0.04153442,0.001,-0.65031016,0.0031415926535897933,-0.0081661560363929,3.945e-05
96,4.8,0.04142761,0.001,-0.65031016,0.0031415926535897933,-0.0081661560363929,3.945e-05
97,4.85,0.04130554,0.001,-0.65031016,0.0031415926535897933,-0.0081661560363929,3.945e-05
98,4.9,0.0413208,0.001,-0.65031016,0.0031415926535897933,-0.0081661560363929,3.945e-05
99,4.95,0.04144287,0.001,-0.65031016,0.0031415926535897933,-0.0081661560363929,3.945e-05
100,5.0,0.04107666,0.001,-0.65031016,0.0031415926535897933,-0.0081661560363929,3.945e-05
101,5.05,0.04046631,0.001,-0.65423716,0.0031415926535897933,-0.008215468651707,3.945e-05
102,5.1,0.04058838,0.001,-0.68015532,0.0031415926535897933,-0.0085409314104869,3.945e-05
103,5.15,0.04025269,0.001,-0.73316973,0.0031415926535897933,-0.0092066505870676,3.945e-05
104,5.2,0.04020691,0.001,-0.78382795,0.0031415926535897933,-0.0098427823200332,3.945e-05
105,5.25,0.03977966,0.001,-0.83409347,0.0031415926535897933,-0.0104739827914674,3.945e-05
106,5.3,0.03961182,0.001,-0.87022182,0.0031415926535897933,-0.0109276582244906,3.945e-05
107,5.35,0.03941345,0.001,-0.89810347,0.0031415926535897933,-0.0112777771653543,3.945e-05
108,5.4,0.0390625,0.001,-0.92834132,0.0031415926535897933,-0.0116574836754065,3.945e-05
109,5.45,0.03952026,0.001,-0.96996746,0.0031415926535897933,-0.0121801966442962,3.945e-05
110,5.5,0.03959656,0.001,-1.01552058,0.0031415926535897933,-0.0127522219773534,3.945e-05
111,5.55,0.03959656,0.001,-1.05047083,0.0031415926535897933,-0.0131911036257825,3.945e-05
112,5.6,0.03933716,0.001,-1.09013346,0.0031415926535897933,-0.0136891601614419,3.945e-05
113,5.65,0.03918457,0.001,-1.1282253,0.0031415926535897933,-0.0141674917765489,3.945e-05
114,5.7,0.03921509,0.001,-1.14746757,0.0031415926535897933,-0.0144091232148681,3.945e-05
115,5.75,0.0393219,0.001,-1.16553175,0.0031415926535897933,-0.0146359609941664,3.945e-05
116,5.8,0.03974915,0.001,-1.1953769,0.0031415926535897933,-0.0150107362426871,3.945e-05
117,5.85,0.04022217,0.001,-1.22757825,0.0031415926535897933,-0.0154150990603963,3.945e-05
118,5.9,0.04039001,0.001,-1.26449199,0.0031415926535897933,-0.0158786368909091,3.945e-05
119,5.95,0.04039001,0.001,-1.29787143,0.0031415926535897933,-0.0162977933676392,3.945e-05
120,6.0,0.04048157,0.001,-1.32889469,0.0031415926535897933,-0.0166873625263274,3.945e-05
121,6.05,0.04069519,0.001,-1.35284935,0.0031415926535897933,-0.0169881689774503,3.945e-05
122,6.1,0.04154968,0.001,-1.39094119,0.0031415926535897933,-0.0174665005925573,3.945e-05
123,6.15,0.04176331,0.001,-1.41371775,0.0031415926535897933,-0.017752513259086,3.945e-05
124,6.2,0.04214478,0.001,-1.43256732,0.0031415926535897933,-0.0179892134358738,3.945e-05
125,6.25,0.04344177,0.001,-1.45927088,0.0031415926535897933,-0.0183245387177165,3.945e-05
126,6.3,0.04345703,0.001,-1.48911603,0.0031415926535897933,-0.0186993139662372,3.945e-05
127,6.35,0.04310608,0.001,-1.52131738,0.0031415926535897933,-0.0191036767839464,3.945e-05
128,6.4,0.04299927,0.001,-1.54880634,0.0031415926535897933,-0.0194488645888519,3.945e-05
129,6.45,0.04423523,0.001,-1.56372891,0.0031415926535897933,-0.0196362521503257,3.945e-05
130,6.5,0.04260254,0.001,-1.58493468,0.0031415926535897933,-0.0199025398963019,3.945e-05
131,6.55,0.04255676,0.001,-1.59200327,0.0031415926535897933,-0.019991302478294,3.945e-05
132,6.6,0.04220581,0.001,-1.60064265,0.0031415926535897933,-0.0200997899808385,3.945e-05
133,6.65,0.0423584,0.001,-1.60260615,0.0031415926535897933,-0.0201244462884955,3.945e-05
134,6.7,0.04252625,0.001,-1.60535505,0.0031415926535897933,-0.0201589651192154,3.945e-05
135,6.75,0.04324341,0.001,-1.60692584,0.0031415926535897933,-0.0201786900397677,3.945e-05
