t	I	a	y
9.35	6.38017	0.0	0.0
9.4	6.76144	0.0	0.0
9.45	6.88524	0.0	0.0
9.5	7.1337	0.0	0.0
9.55	7.23689	0.0	0.0
9.6	7.36818	0.0	0.0
9.65	7.43622	0.0	0.0
9.7	7.48679	0.0	0.0
9.75	7.66411	0.0	0.0
9.8	7.76703	0.0	0.0
9.85	7.78903	0.0	0.0
9.9	7.87125	0.0	0.0
9.95	7.91876	0.0	0.0
10.0	7.99992	0.0	0.0
10.05	8.04388	0.0	0.0
10.1	8.08781	0.0	0.0
10.15	8.17911	0.0	0.0
10.2	8.18016	0.0	0.0
10.25	8.09708	0.0	0.0
10.3	7.94286	0.0	0.0
10.35	7.89668	0.0	0.0
10.4	7.89429	0.0	0.0
10.45	7.7067	0.0	0.0
10.5	7.61543	0.0	0.0
10.55	7.5303	0.0	0.0
10.6	7.5062	0.0	0.0
10.65	7.47162	0.0	0.0
10.7	7.437	0.0	0.0
10.75	7.44196	0.0	0.0
10.8	7.47566	0.0	0.0
10.85	7.42616	0.0	0.0
10.9	7.40367	0.0	0.0
10.95	7.46292	0.0	0.0
11.0	7.46402	0.0	0.0
11.05	7.45609	0.0	0.0
11.1	7.49025	0.0	0.0
11.15	7.56386	0.0	0.0
11.2	7.60208	0.0	0.0
11.25	7.56058	0.0	0.0
11.3	7.53552	0.0	0.0
11.35	7.58009	0.0	0.0
11.4	7.58572	0.0	0.0
11.45	7.62819	0.0	0.0
11.5	7.67355	0.0	0.0
11.55	7.76228	0.0	0.0
11.6	7.78879	0.0	0.0
11.65	7.6788	0.0	0.0
11.7	7.54614	0.0	0.0
11.75	7.30002	0.0	0.0
11.8	7.11263	0.0	0.0
11.85	6.9615	0.0	0.0
11.9	6.69398	0.0	0.0
11.95	6.62437	0.0	0.0
12.0	6.50797	0.0	0.0
12.05	6.32211	0.0	0.0
12.1	6.2688	0.0	0.0
12.15	6.19275	0.0	0.0
12.2	6.14368	0.0	0.0
12.25	6.09601	0.0	0.0
12.3	6.12541	0.0	0.0
12.35	6.08017	0.0	0.0
12.4	6.05821	0.0	0.0
12.45	6.12175	0.0	0.0
12.5	6.13983	0.0	0.0
12.55	6.11784	0.0	0.0
12.6	6.11569	0.0	0.0
12.65	6.16643	0.0	0.0
12.7	6.14293	0.0	0.0
12.75	6.11766	0.0	0.0
12.8	6.13582	0.0	0.0
12.85	6.06776	0.0	0.0
12.9	5.95444	0.0	0.0
12.95	5.94797	0.0	0.0
13.0	5.94041	0.0	0.0
13.05	5.81256	0.0	0.0
13.1	5.74997	0.0	0.0
13.15	5.72227	0.0	0.0
13.2	5.64354	0.0	0.0
13.25	5.58858	0.0	0.0
13.3	5.54311	0.0	0.0
13.35	5.50087	0.0	0.0
13.4	5.40308	0.0	0.0
13.45	5.3696	0.0	0.0
13.5	5.41043	0.0	0.0
13.55	5.36746	0.0	0.0
13.6	5.36333	0.0	0.0
13.65	5.35884	0.0	0.0
13.7	5.50067	0.0	0.0
13.75	5.54604	0.0	0.0
13.8	5.69144	0.0	0.0
13.85	5.83366	0.0	0.0
13.9	5.90491	0.0	0.0
13.95	5.97414	0.0	0.0
14.0	6.03026	0.0	0.0
14.05	6.14175	0.0	0.0
14.1	6.1797	0.0	0.0
14.15	6.21432	0.0	0.0
14.2	6.34898	0.0	0.0
14.25	6.33745	0.0	0.0
14.3	6.35362	0.0	0.0
14.35	6.40849	0.0	0.0
14.4	6.4751	0.0	0.0
14.45	6.48409	0.0	0.0
14.5	6.50008	0.0	0.0
14.55	6.63257	0.0	0.0
14.6	6.64687	0.0	0.0
14.65	6.71431	0.0	0.0
14.7	6.94704	0.0	0.0
14.75	7.1125	0.0	0.0
14.8	7.21318	0.0	0.0
14.85	7.33154	0.0	0.0
14.9	7.35576	0.0	0.0
14.95	7.46016	0.0	0.0
15.0	7.43968	0.0	0.0
15.05	7.44643	0.0	0.0
15.1	7.42929	0.0	0.0
15.15	7.45412	0.0	0.0
15.2	7.41933	0.0	0.0
15.25	7.39061	0.0	0.0
15.3	7.3806	0.0	0.0
15.35	7.39458	0.0	0.0
15.4	7.3459	0.0	0.0
15.45	7.33351	0.0	0.0
15.5	7.34587	0.0	0.0
15.55	7.37645	0.0	0.0
15.6	7.35342	0.0	0.0
15.65	7.36079	0.0	0.0
15.7	7.39095	0.0	0.0
15.75	7.44849	0.0	0.0
15.8	7.44717	0.0	0.0
15.85	7.45982	0.0	0.0
15.9	7.51303	0.0	0.0
15.95	7.52135	0.0	0.0
16.0	7.48578	0.0	0.0
16.05	7.44029	0.0	0.0
16.1	7.44305	0.0	0.0
16.15	7.38365	0.0	0.0
16.2	7.34113	0.0	0.0
16.25	7.29189	0.0	0.0
16.3	7.27158	0.0	0.0
16.35	7.22765	0.0	0.0
16.4	7.18869	0.0	0.0
16.45	7.17838	0.0	0.0
16.5	7.20918	0.0	0.0
16.55	7.18727	0.0	0.0
16.6	7.19987	0.0	0.0
16.65	7.18024	0.0	0.0
16.7	7.20415	0.0	0.0
16.75	7.08981	0.0	0.0
16.8	6.79089	0.0	0.0
16.85	6.6642	0.0	0.0
16.9	6.59723	0.0	0.0
16.95	6.32077	0.0	0.0
17.0	6.20654	0.0	0.0
17.05	6.10562	0.0	0.0
17.1	5.998	0.0	0.0
17.15	5.92265	0.0	0.0
17.2	5.81215	0.0	0.0
17.25	5.7742	0.0	0.0
17.3	5.68877	0.0	0.0
17.35	5.57826	0.0	0.0
17.4	5.58774	0.0	0.0
17.45	5.5025	0.0	0.0
17.5	5.48033	0.0	0.0
17.55	5.44965	0.0	0.0
17.6	5.50745	0.0	0.0
17.65	5.4781	0.0	0.0
17.7	5.4471	0.0	0.0
17.75	5.50067	0.0	0.0
17.8	5.5062	0.0	0.0
17.85	5.47343	0.0	0.0
17.9	5.45695	0.0	0.0
17.95	5.51215	0.0	0.0
18.0	5.49217	0.0	0.0
18.05	5.48972	0.0	0.0
18.1	5.53755	0.0	0.0
18.15	5.53365	0.0	0.0
18.2	5.49947	0.0	0.0
18.25	5.49274	0.0	0.0
18.3	5.55157	0.0	0.0
