Time (s)	Light Intensity (% of scale max)	Position (m)
5.88	1.4	-0.05
5.9	0.9	-0.0503
5.92	1.3	-0.0507
5.95	0.9	-0.0512
5.96	1.3	-0.0517
6.0	0.9	-0.0522
6.04	1.4	-0.0527
6.05	0.9	-0.0532
6.08	1.4	-0.0536
6.1	0.9	-0.0539
6.12	1.4	-0.0539
6.15	0.9	-0.0539
6.16	1.2	-0.0538
6.2	1.2	-0.0536
6.24	0.9	-0.0536
6.25	1.2	-0.0536
6.28	0.9	-0.0536
6.3	1.0	-0.0536
6.32	1.0	-0.0536
6.35	0.9	-0.0536
6.36	1.1	-0.0535
6.4	0.9	-0.0534
6.44	1.2	-0.0534
6.45	1.0	-0.0535
6.48	0.9	-0.0536
6.5	1.2	-0.0537
6.52	1.0	-0.0547
6.55	1.4	-0.0562
6.56	1.2	-0.058
6.6	1.5	-0.0598
6.64	1.4	-0.0611
6.65	1.3	-0.0618
6.68	1.6	-0.0621
6.7	1.2	-0.0626
6.72	1.6	-0.0628
6.75	1.1	-0.063
6.76	1.6	-0.0633
6.8	1.6	-0.0635
6.84	1.6	-0.0633
6.85	1.8	-0.0632
6.88	1.4	-0.0632
6.9	1.6	-0.0632
6.92	1.7	-0.0632
6.95	1.6	-0.0632
6.96	1.6	-0.0632
7.0	1.5	-0.0632
7.04	1.6	-0.0632
7.05	1.7	-0.0633
7.08	1.5	-0.0633
7.1	1.4	-0.0633
7.12	1.3	-0.0635
7.15	1.7	-0.0636
7.16	1.6	-0.0639
7.2	1.4	-0.0644
7.24	1.6	-0.0648
7.25	1.8	-0.0654
7.28	1.9	-0.0657
7.3	1.9	-0.0661
7.32	1.9	-0.0667
7.35	2.2	-0.0673
7.36	2.3	-0.0678
7.4	2.2	-0.0684
7.44	2.0	-0.0691
7.45	2.0	-0.0699
7.48	2.2	-0.0706
7.5	2.0	-0.0711
7.52	1.9	-0.0718
7.55	2.0	-0.0719
7.56	2.2	-0.0719
7.6	1.7	-0.0719
7.64	1.8	-0.0719
7.65	2.2	-0.0718
7.68	1.6	-0.0715
7.7	1.9	-0.0714
7.72	1.9	-0.0714
7.75	1.6	-0.0714
7.76	2.3	-0.0714
7.8	2.2	-0.0714
7.84	2.1	-0.0714
7.85	2.1	-0.0714
7.88	2.3	-0.0714
7.9	2.3	-0.0714
7.92	2.1	-0.0716
7.95	2.1	-0.0719
7.96	2.3	-0.0723
8.0	2.3	-0.0729
8.04	2.2	-0.0734
8.05	2.0	-0.0739
8.08	2.1	-0.0742
8.1	2.3	-0.0744
8.12	2.1	-0.075
8.15	2.0	-0.0755
8.16	2.0	-0.0759
8.2	2.3	-0.076
8.24	2.2	-0.0763
