"Time (s) Florinda 0.02 1.5";"Light Intensity (% of scale max) Florinda 0.02 1.5";"Angle (rad) Florinda 0.02 1.5";"Time (s) Arianna 0.02 1.5";"Light Intensity (% of scale max) Arianna 0.02 1.5";"Angle (rad) Arianna 0.02 1.5";"Time (s) Antonio 0.02 1.5";"Light Intensity (% of scale max) Antonio 0.02 1.5";"Angle (rad) Antonio 0.02 1.5";"Time (s) Florinda 0.04 1.5";"Light Intensity (% of scale max) Florinda 0.04 1.5";"Angle (rad) Florinda 0.04 1.5";"Time (s) Matteo 0.04 1.5";"Light Intensity (% of scale max) Matteo 0.04 1.5";"Angle (rad) Matteo 0.04 1.5";"Time (s) Antonio 0.04 1.5";"Light Intensity (% of scale max) Antonio 0.04 1.5";"Angle (rad) Antonio 0.04 1.5";"Time (s) Arianna 0.08 1.5";"Light Intensity (% of scale max) Arianna 0.08 1.5";"Angle (rad) Arianna 0.08 1.5";"Time (s) Florinda 0.08 1.5";"Light Intensity (% of scale max) Florinda 0.08 1.5";"Angle (rad) Florinda 0.08 1.5";"Time (s) Matteo 0.08 1.5";"Light Intensity (% of scale max) Matteo 0.08 1.5";"Angle (rad) Matteo 0.08 1.5";"Time (s) Florinda 0.02 1.0 candela";"Light Intensity (% of scale max) Florinda 0.02 1.0 candela";"Angle (rad) Florinda 0.02 1.0 candela";"Time (s) Antonio 0.04 1.0 candela";"Light Intensity (% of scale max) Antonio 0.04 1.0 candela";"Angle (rad) Antonio 0.04 1.0 candela";"Time (s) Matteo 0.04 1.0";"Light Intensity (% of scale max) Matteo 0.04 1.0";"Angle (rad) Matteo 0.04 1.0";"Time (s) Arianna 0.08 1.0";"Light Intensity (% of scale max) Arianna 0.08 1.0";"Angle (rad) Arianna 0.08 1.0";"Time (s) Antonio 0.08 0.5";"Light Intensity (% of scale max) Antonio 0.08 0.5";"Angle (rad) Antonio 0.08 0.5";"Time (s) Florinda 0.04 0.5";"Light Intensity (% of scale max) Florinda 0.04 0.5";"Angle (rad) Florinda 0.04 0.5";"Time (s) Laser rumore costante sole";"Light Intensity (% of scale max) Laser rumore costante sole";"Angle (rad) Laser rumore costante sole";"Time (s) Corrente di buio t candela";"Light Intensity (% of scale max) Corrente di buio t candela";"Angle (rad) Corrente di buio t candela";"Time (s) Corrente di buio t lampadina";"Light Intensity (% of scale max) Corrente di buio t lampadina";"Angle (rad) Corrente di buio t lampadina";"Time (s) Rumore t lampadina";"Light Intensity (% of scale max) Rumore t lampadina";"Angle (rad) Rumore t lampadina";"Time (s) Rumore t candela";"Light Intensity (% of scale max) Rumore t candela";"Angle (rad) Rumore t candela";"Time (s) Rumore s lampadina";"Light Intensity (% of scale max) Rumore s lampadina";"Angle (rad) Rumore s lampadina";"Time (s) VAntonio 0.02 1.5";"Light Intensity (% of scale max) VAntonio 0.02 1.5";"Angle (rad) VAntonio 0.02 1.5"
34,200;1,00374;-8,76662;34,200;0,08192;-5,87478;34,200;0,07585;-11,62704;34,200;0,05276;-5,36584;34,200;0,04120;-2,08759;34,200;3,74557;-7,73618;34,200;0,78784;-8,74620;34,200;0,05615;-1,34146;34,200;0,07867;-5,15693;34,200;1,98357;-3,33166;34,200;2,84201;-5,21976;34,200;0,03242;-4,27414;34,200;0,22371;-9,30383;34,200;0,02946;-4,94801;34,200;0,03728;-5,16164;34,200;32,56808;0,00000;34,200;1,65681;0,00000;34,200;0,02769;0,00000;34,200;0,05722;-0,00157;34,200;4,96426;0,00000;34,200;0,09053;-11,24691;34,200;0,57098;-6,90680
34,250;1,00510;-8,78272;34,250;0,07712;-5,83669;34,250;0,08026;-11,66867;34,250;0,05246;-5,36938;34,250;0,04126;-2,08720;34,250;3,75772;-7,74050;34,250;0,78770;-8,74620;34,250;0,05571;-1,34657;34,250;0,07764;-5,17185;34,250;1,97537;-3,33166;34,250;2,74925;-5,22212;34,250;0,03244;-4,27650;34,250;0,22304;-9,28930;34,250;0,02980;-4,95508;34,250;0,03726;-5,17146;34,250;32,56676;0,00000;34,250;1,65109;0,00000;34,250;0,02792;0,00000;34,250;0,05717;-0,00157;34,250;5,02901;0,00000;34,250;0,09105;-11,20882;34,250;0,57368;-6,90601
34,300;1,00549;-8,78390;34,300;0,07098;-5,77504;34,300;0,08635;-11,72836;34,300;0,05240;-5,37134;34,300;0,04121;-2,08602;34,300;3,79672;-7,74717;34,300;0,78741;-8,74620;34,300;0,05559;-1,34853;34,300;0,07729;-5,17499;34,300;1,99823;-3,33166;34,300;2,54039;-5,23782;34,300;0,03256;-4,28121;34,300;0,22243;-9,28813;34,300;0,03011;-4,96529;34,300;0,03706;-5,17970;34,300;32,56470;0,00000;34,300;1,64772;0,00000;34,300;0,02771;0,00000;34,300;0,05714;-0,00157;34,300;5,00108;0,00000;34,300;0,09097;-11,20293;34,300;0,57414;-6,90366
34,350;1,00574;-8,78272;34,350;0,06537;-5,68747;34,350;0,07932;-11,78805;34,350;0,05226;-5,37331;34,350;0,04146;-2,08131;34,350;3,82954;-7,75738;34,350;0,78606;-8,74620;34,350;0,05525;-1,35049;34,350;0,07697;-5,17813;34,350;2,08002;-3,33166;34,350;2,43210;-5,25942;34,350;0,03264;-4,28710;34,350;0,22226;-9,28813;34,350;0,03052;-4,97079;34,350;0,03685;-5,18913;34,350;32,56859;0,00000;34,350;1,65794;0,00000;34,350;0,02798;0,00000;34,350;0,05699;-0,00157;34,350;4,98741;0,00000;34,350;0,09050;-11,20411;34,350;0,57397;-6,90366
34,400;1,00555;-8,77762;34,400;0,05202;-5,59361;34,400;0,07379;-11,82182;34,400;0,05138;-5,38155;34,400;0,04161;-2,07502;34,400;3,85719;-7,76445;34,400;0,78470;-8,74620;34,400;0,05521;-1,35717;34,400;0,07668;-5,17892;34,400;2,07625;-3,33166;34,400;2,24069;-5,26845;34,400;0,03242;-4,29142;34,400;0,22260;-9,28813;34,400;0,03154;-4,97472;34,400;0,03647;-5,20248;34,400;32,56419;0,00000;34,400;1,66519;0,00000;34,400;0,02779;0,00000;34,400;0,05659;-0,00157;34,400;4,95355;0,00000;34,400;0,09061;-11,25319;34,400;0,57286;-6,90366
34,450;1,00600;-8,77762;34,450;0,04913;-5,53745;34,450;0,06131;-11,87130;34,450;0,04994;-5,40551;34,450;0,04141;-2,07502;34,450;3,85960;-7,76484;34,450;0,78426;-8,74620;34,450;0,05501;-1,36227;34,450;0,07697;-5,17892;34,450;2,06546;-3,33166;34,450;1,83650;-5,28495;34,450;0,03250;-4,31105;34,450;0,22252;-9,28813;34,450;0,03287;-4,99749;34,450;0,03607;-5,22290;34,450;32,56671;0,00000;34,450;1,72705;0,00000;34,450;0,02754;0,00000;34,450;0,05647;-0,00157;34,450;4,98923;0,00000;34,450;0,09044;-11,25319;34,450;0,56807;-6,90719
34,500;1,00652;-8,77762;34,500;0,04796;-5,49229;34,500;0,05948;-11,93413;34,500;0,04881;-5,43182;34,500;0,04132;-2,07502;34,500;3,86287;-7,76759;34,500;0,78415;-8,74620;34,500;0,05473;-1,36345;34,500;0,07655;-5,17892;34,500;2,04800;-3,33166;34,500;1,78188;-5,28888;34,500;0,03325;-4,32362;34,500;0,22221;-9,28813;34,500;0,03294;-5,00535;34,500;0,03566;-5,23861;34,500;32,56888;0,00000;34,500;1,71829;0,00000;34,500;0,02748;0,00000;34,500;0,05603;-0,00157;34,500;4,95599;0,00000;34,500;0,09052;-11,25319;34,500;0,56383;-6,91622
34,550;1,00664;-8,77762;34,550;0,04686;-5,47187;34,550;0,06091;-11,98518;34,550;0,04839;-5,43810;34,550;0,04176;-2,07502;34,550;3,92599;-7,77977;34,550;0,78197;-8,74856;34,550;0,05482;-1,36345;34,550;0,07663;-5,17656;34,550;2,03763;-3,33166;34,550;1,91977;-5,29045;34,550;0,03331;-4,34326;34,550;0,22220;-9,28930;34,550;0,03349;-5,00731;34,550;0,03503;-5,24843;34,550;32,56767;0,00000;34,550;1,70256;0,00000;34,550;0,02789;0,00000;34,550;0,05623;-0,00157;34,550;4,92593;0,00000;34,550;0,09047;-11,25319;34,550;0,56528;-6,92290
34,600;1,00635;-8,77762;34,600;0,04700;-5,46795;34,600;0,06210;-12,01660;34,600;0,04817;-5,44281;34,600;0,04143;-2,07502;34,600;3,95708;-7,79587;34,600;0,78001;-8,75877;34,600;0,05453;-1,36345;34,600;0,07588;-5,16635;34,600;2,06300;-3,33166;34,600;2,00223;-5,29045;34,600;0,03398;-4,36210;34,600;0,22220;-9,28970;34,600;0,03317;-5,00770;34,600;0,03511;-5,25118;34,600;32,56621;0,00000;34,600;1,67995;0,00000;34,600;0,02779;0,00000;34,600;0,05637;-0,00157;34,600;4,94882;0,00000;34,600;0,09036;-11,25319;34,600;0,58287;-6,93978
34,650;1,00856;-8,77526;34,650;0,04707;-5,46873;34,650;0,06020;-12,04998;34,650;0,04720;-5,48208;34,650;0,04167;-2,07777;34,650;3,96597;-7,79783;34,650;0,78621;-8,76230;34,650;0,05476;-1,34774;34,650;0,07483;-5,16164;34,650;2,09767;-3,33166;34,650;1,90855;-5,28495;34,650;0,03490;-4,37074;34,650;0,22165;-9,28930;34,650;0,03377;-5,00692;34,650;0,03479;-5,25982;34,650;32,56796;0,00000;34,650;1,67581;0,00000;34,650;0,02773;0,00000;34,650;0,05655;-0,00157;34,650;4,98055;0,00000;34,650;0,09041;-11,25319;34,650;0,60602;-6,97591
34,700;1,01144;-8,77212;34,700;0,04684;-5,47109;34,700;0,05495;-12,10457;34,700;0,04732;-5,50722;34,700;0,04178;-2,08916;34,700;3,97664;-7,80058;34,700;0,78868;-8,76426;34,700;0,05446;-1,34774;34,700;0,07469;-5,16164;34,700;2,07059;-3,33245;34,700;1,47884;-5,26374;34,700;0,03552;-4,38802;34,700;0,22151;-9,28813;34,700;0,03424;-4,99357;34,700;0,03493;-5,27395;34,700;32,56641;0,00000;34,700;1,70335;0,00000;34,700;0,02768;0,00000;34,700;0,05653;-0,00157;34,700;4,92194;0,00000;34,700;0,09047;-11,25241;34,700;0,62244;-7,00968
34,750;1,01157;-8,77251;34,750;0,04695;-5,47109;34,750;0,05008;-12,16151;34,750;0,04739;-5,50879;34,750;0,04158;-2,12175;34,750;3,98027;-7,80215;34,750;0,78975;-8,76623;34,750;0,05414;-1,34774;34,750;0,07483;-5,16164;34,750;2,05972;-3,33323;34,750;1,63730;-5,25903;34,750;0,03633;-4,39470;34,750;0,22211;-9,28813;34,750;0,03720;-4,97432;34,750;0,03401;-5,28927;34,750;32,56747;0,00000;34,750;1,71158;0,00000;34,750;0,02765;0,00000;34,750;0,05620;-0,00157;34,750;4,89569;0,00000;34,750;0,09103;-11,24809;34,750;0,65385;-7,04463
34,800;1,00751;-8,78076;34,800;0,04686;-5,47109;34,800;0,04726;-12,20824;34,800;0,04744;-5,50879;34,800;0,04178;-2,14728;34,800;3,98004;-7,80215;34,800;0,79126;-8,76819;34,800;0,05424;-1,34774;34,800;0,07510;-5,16164;34,800;2,01248;-3,33794;34,800;1,77499;-5,25903;34,800;0,03622;-4,39666;34,800;0,22253;-9,28813;34,800;0,03825;-4,97157;34,800;0,03372;-5,30301;34,800;32,56804;0,00000;34,800;1,69794;0,00000;34,800;0,02782;0,00000;34,800;0,05632;-0,00157;34,800;4,92580;0,00000;34,800;0,09117;-11,21235;34,800;0,66776;-7,07016
34,850;0,99648;-8,82670;34,850;0,04660;-5,47266;34,850;0,04607;-12,23848;34,850;0,04727;-5,50957;34,850;0,04149;-2,15396;34,850;3,97673;-7,80215;34,850;0,80301;-8,77251;34,850;0,05444;-1,34774;34,850;0,07495;-5,16164;34,850;1,95296;-3,35405;34,850;1,67365;-5,25903;34,850;0,03647;-4,39391;34,850;0,22351;-9,28852;34,850;0,03798;-4,97157;34,850;0,03346;-5,31636;34,850;32,56693;0,00000;34,850;1,69354;0,00000;34,850;0,02768;0,00000;34,850;0,05615;-0,00157;34,850;4,89784;0,00000;34,850;0,09166;-11,15620;34,850;0,67700;-7,08862
34,900;0,93694;-8,91113;34,900;0,04668;-5,47187;34,900;0,04562;-12,26165;34,900;0,04784;-5,51664;34,900;0,04131;-2,15749;34,900;3,97508;-7,80215;34,900;0,81230;-8,77840;34,900;0,05423;-1,34774;34,900;0,07446;-5,16164;34,900;1,93025;-3,36936;34,900;1,63872;-5,25903;34,900;0,03949;-4,38253;34,900;0,22342;-9,28970;34,900;0,03796;-4,97157;34,900;0,03320;-5,32893;34,900;32,56796;0,00000;34,900;1,67683;0,00000;34,900;0,02812;0,00000;34,900;0,05629;-0,00157;34,900;4,86093;0,00000;34,900;0,09122;-11,08041;34,900;0,69518;-7,10707
34,950;0,66248;-9,01206;34,950;0,04666;-5,46873;34,950;0,04625;-12,29306;34,950;0,04947;-5,54256;34,950;0,04158;-2,17281;34,950;3,97418;-7,80097;34,950;0,82565;-8,78783;34,950;0,05443;-1,34774;34,950;0,07469;-5,16164;34,950;1,94904;-3,38232;34,950;1,57404;-5,25903;34,950;0,04253;-4,37349;34,950;0,22307;-9,29794;34,950;0,03804;-4,97157;34,950;0,03230;-5,34503;34,950;32,56929;0,00000;34,950;1,69963;0,00000;34,950;0,02814;0,00000;34,950;0,05652;-0,00157;34,950;4,78781;0,00000;34,950;0,09076;-10,99872;34,950;0,70358;-7,12317
35,000;0,55377;-9,09492;35,000;0,04579;-5,44910;35,000;0,04640;-12,32448;35,000;0,05151;-5,57319;35,000;0,04147;-2,17713;35,000;4,10170;-7,79273;35,000;0,78819;-8,80118;35,000;0,05452;-1,34774;35,000;0,07437;-5,16164;35,000;1,95753;-3,39606;35,000;1,67845;-5,25903;35,000;0,04286;-4,37310;35,000;0,22258;-9,31640;35,000;0,03807;-4,97157;35,000;0,03226;-5,36270;35,000;32,56891;0,00000;35,000;1,71048;0,00000;35,000;0,02812;0,00000;35,000;0,05669;-0,00157;35,000;4,80411;0,00000;35,000;0,09094;-10,91547;35,000;0,71552;-7,13927
35,050;0,54219;-9,10120;35,050;0,04517;-5,38391;35,050;0,04562;-12,35472;35,050;0,05249;-5,58419;35,050;0,04160;-2,18302;35,050;4,12784;-7,78801;35,050;0,74187;-8,81649;35,050;0,05458;-1,34814;35,050;0,07437;-5,16203;35,050;1,99197;-3,41570;35,050;1,78871;-5,25903;35,050;0,04305;-4,37310;35,050;0,22411;-9,33329;35,050;0,03770;-4,97157;35,050;0,03157;-5,37998;35,050;32,56870;0,00000;35,050;1,67432;0,00000;35,050;0,02808;0,00000;35,050;0,05637;-0,00157;35,050;4,80827;0,00000;35,050;0,09059;-10,82240;35,050;0,72330;-7,14359
35,100;0,53938;-9,09884;35,100;0,04544;-5,28652;35,100;0,04475;-12,36689;35,100;0,05273;-5,58419;35,100;0,04164;-2,18734;35,100;4,12737;-7,78801;35,100;0,69618;-8,83024;35,100;0,05469;-1,35089;35,100;0,07468;-5,16400;35,100;2,04033;-3,43612;35,100;1,73976;-5,25903;35,100;0,04317;-4,37389;35,100;0,22455;-9,33918;35,100;0,03802;-4,97157;35,100;0,03139;-5,39412;35,100;32,56815;0,00000;35,100;1,66403;0,00000;35,100;0,02812;0,00000;35,100;0,05626;-0,00157;35,100;4,71774;0,00000;35,100;0,09059;-10,73640;35,100;0,72836;-7,15184
35,150;0,53862;-9,09649;35,150;0,04716;-5,17970;35,150;0,04424;-12,37553;35,150;0,05269;-5,58419;35,150;0,04166;-2,19166;35,150;4,12511;-7,78801;35,150;0,60820;-8,84280;35,150;0,05531;-1,35481;35,150;0,07481;-5,16596;35,150;2,08934;-3,46125;35,150;1,63506;-5,25903;35,150;0,04257;-4,37467;35,150;0,22359;-9,35331;35,150;0,03773;-4,97157;35,150;0,03120;-5,40354;35,150;32,56818;0,00000;35,150;1,64407;0,00000;35,150;0,02823;0,00000;35,150;0,05641;-0,00157;35,150;4,66600;0,00000;35,150;0,09067;-10,68221;35,150;0,73491;-7,16127
35,200;0,53856;-9,09649;35,200;0,05203;-5,12080;35,200;0,04340;-12,38888;35,200;0,05257;-5,58419;35,200;0,04141;-2,19440;35,200;4,12447;-7,78801;35,200;0,56442;-8,85616;35,200;0,05495;-1,35717;35,200;0,07530;-5,17735;35,200;2,13779;-3,48403;35,200;1,58241;-5,26374;35,200;0,04230;-4,38095;35,200;0,21855;-9,36824;35,200;0,03795;-4,97472;35,200;0,03073;-5,41611;35,200;32,56779;0,00000;35,200;1,66266;0,00000;35,200;0,02817;0,00000;35,200;0,05620;-0,00157;35,200;4,63474;0,00000;35,200;0,09067;-10,65315;35,200;0,74260;-7,16912
35,250;0,53815;-9,09649;35,250;0,05615;-5,05168;35,250;0,04300;-12,39045;35,250;0,05298;-5,58144;35,250;0,04158;-2,19440;35,250;4,12997;-7,78801;35,250;0,49702;-8,87736;35,250;0,05515;-1,35913;35,250;0,07549;-5,18010;35,250;2,12415;-3,50523;35,250;1,62747;-5,27866;35,250;0,04247;-4,39274;35,250;0,21519;-9,37962;35,250;0,03476;-4,98571;35,250;0,03091;-5,43378;35,250;32,56409;0,00000;35,250;1,66563;0,00000;35,250;0,02823;0,00000;35,250;0,05612;-0,00157;35,250;4,58321;0,00000;35,250;0,09067;-10,64215;35,250;0,74881;-7,17501
35,300;0,53796;-9,09649;35,300;0,06146;-4,96529;35,300;0,04315;-12,38967;35,300;0,05649;-5,57240;35,300;0,04141;-2,19440;35,300;4,12749;-7,78801;35,300;0,33693;-8,90328;35,300;0,05528;-1,36110;35,300;0,07445;-5,18913;35,300;2,10434;-3,53115;35,300;2,04910;-5,28888;35,300;0,04213;-4,40609;35,300;0,20859;-9,39573;35,300;0,03337;-4,99828;35,300;0,03026;-5,44988;35,300;32,56900;0,00000;35,300;1,64856;0,00000;35,300;0,02812;0,00000;35,300;0,05611;-0,00157;35,300;4,52867;0,00000;35,300;0,09067;-10,64215;35,300;0,76077;-7,18797
35,350;0,53709;-9,09649;35,350;0,06598;-4,87301;35,350;0,04219;-12,37828;35,350;0,05804;-5,57162;35,350;0,04163;-2,18969;35,350;4,12599;-7,78801;35,350;0,29137;-8,92331;35,350;0,05534;-1,36306;35,350;0,07414;-5,19816;35,350;2,08934;-3,55118;35,350;1,90147;-5,30144;35,350;0,04228;-4,42179;35,350;0,19313;-9,40947;35,350;0,03404;-5,00967;35,350;0,03053;-5,45774;35,350;32,57111;0,00000;35,350;1,63394;0,00000;35,350;0,02792;0,00000;35,350;0,05554;-0,00157;35,350;4,47319;0,00000;35,350;0,09030;-10,65982;35,350;0,77263;-7,19622
35,400;0,53711;-9,09649;35,400;0,06297;-4,75637;35,400;0,04112;-12,37317;35,400;0,05811;-5,57162;35,400;0,04163;-2,18027;35,400;4,12631;-7,78801;35,400;0,25220;-8,94098;35,400;0,05516;-1,36502;35,400;0,07324;-5,20876;35,400;2,06834;-3,55786;35,400;1,67014;-5,32029;35,400;0,04298;-4,43122;35,400;0,17487;-9,43264;35,400;0,03484;-5,02969;35,400;0,03041;-5,46166;35,400;32,57204;0,00000;35,400;1,62616;0,00000;35,400;0,02803;0,00000;35,400;0,05598;-0,00157;35,400;4,45212;0,00000;35,400;0,09045;-10,70970;35,400;0,78149;-7,21153
35,450;0,53737;-9,09649;35,450;0,06396;-4,66684;35,450;0,04088;-12,37317;35,450;0,05832;-5,57162;35,450;0,04210;-2,17870;35,450;4,12688;-7,78801;35,450;0,17857;-8,95826;35,450;0,05478;-1,37170;35,450;0,07043;-5,22801;35,450;2,10225;-3,55707;35,450;1,50175;-5,32304;35,450;0,04301;-4,44025;35,450;0,15260;-9,46170;35,450;0,03787;-5,05247;35,450;0,03035;-5,46912;35,450;32,57129;0,00000;35,450;1,64034;0,00000;35,450;0,02800;0,00000;35,450;0,05563;-0,00157;35,450;4,43692;0,00000;35,450;0,09059;-10,70970;35,450;0,78908;-7,22017
35,500;0,53821;-9,09649;35,500;0,06816;-4,58123;35,500;0,04128;-12,37317;35,500;0,05836;-5,57162;35,500;0,04192;-2,17870;35,500;4,12733;-7,78801;35,500;0,15675;-8,97161;35,500;0,05443;-1,38309;35,500;0,06776;-5,23625;35,500;2,13458;-3,55393;35,500;1,75581;-5,32893;35,500;0,04395;-4,45243;35,500;0,13142;-9,48526;35,500;0,03802;-5,06189;35,500;0,03064;-5,47423;35,500;32,57222;0,00000;35,500;1,69855;0,00000;35,500;0,02805;0,00000;35,500;0,05537;-0,00157;35,500;4,29356;0,00000;35,500;0,09033;-10,70970;35,500;0,80460;-7,23509
35,550;0,53864;-9,09767;35,550;0,07385;-4,51683;35,550;0,04138;-12,37317;35,550;0,05814;-5,57162;35,550;0,04202;-2,17870;35,550;4,12753;-7,78801;35,550;0,13448;-8,98614;35,550;0,05397;-1,39330;35,550;0,06718;-5,24097;35,550;2,17171;-3,54608;35,550;1,42461;-5,33364;35,550;0,04471;-4,46460;35,550;0,10181;-9,50293;35,550;0,03880;-5,07250;35,550;0,03072;-5,47933;35,550;32,57259;0,00000;35,550;1,68578;0,00000;35,550;0,02818;0,00000;35,550;0,05542;-0,00157;35,550;4,22720;0,00000;35,550;0,09030;-10,70970;35,550;0,80812;-7,24413
35,600;0,53906;-9,10120;35,600;0,07910;-4,48934;35,600;0,04146;-12,37317;35,600;0,05817;-5,57162;35,600;0,04170;-2,17870;35,600;4,12817;-7,78801;35,600;0,10448;-9,00852;35,600;0,05363;-1,39801;35,600;0,06552;-5,25275;35,600;2,18205;-3,54372;35,600;1,28413;-5,34071;35,600;0,04535;-4,47049;35,600;0,08574;-9,52532;35,600;0,04027;-5,09567;35,600;0,03053;-5,48837;35,600;32,57219;0,00000;35,600;1,67375;0,00000;35,600;0,02806;0,00000;35,600;0,05510;-0,00157;35,600;4,15530;0,00000;35,600;0,09027;-10,70970;35,600;0,80975;-7,24452
35,650;0,53658;-9,10395;35,650;0,07887;-4,48934;35,650;0,04106;-12,37317;35,650;0,05829;-5,57162;35,650;0,04187;-2,17909;35,650;4,12744;-7,78801;35,650;0,07114;-9,02305;35,650;0,05334;-1,39997;35,650;0,06354;-5,26453;35,650;2,16774;-3,54372;35,650;1,46794;-5,35681;35,650;0,04536;-4,47206;35,650;0,07053;-9,54691;35,650;0,04181;-5,10666;35,650;0,03059;-5,50015;35,650;32,57280;0,00000;35,650;1,66127;0,00000;35,650;0,02808;0,00000;35,650;0,05493;-0,00157;35,650;4,10649;0,00000;35,650;0,08998;-10,70970;35,650;0,81105;-7,24452
35,700;0,50015;-9,13576;35,700;0,07759;-4,49170;35,700;0,04141;-12,37317;35,700;0,05821;-5,57162;35,700;0,04199;-2,18105;35,700;4,12869;-7,78801;35,700;0,06503;-9,03209;35,700;0,05356;-1,40272;35,700;0,05847;-5,28259;35,700;2,16238;-3,54372;35,700;1,25262;-5,35878;35,700;0,04572;-4,46892;35,700;0,05942;-9,56459;35,700;0,04274;-5,11923;35,700;0,03101;-5,51193;35,700;32,57048;0,00000;35,700;1,66916;0,00000;35,700;0,02809;0,00000;35,700;0,05470;-0,00157;35,700;4,08635;0,00000;35,700;0,09039;-10,70106;35,700;0,81053;-7,24373
35,750;0,42026;-9,20527;35,750;0,07739;-4,49523;35,750;0,04120;-12,37317;35,750;0,05788;-5,57162;35,750;0,04173;-2,19597;35,750;4,12851;-7,78801;35,750;0,06137;-9,03758;35,750;0,05322;-1,40783;35,750;0,05545;-5,30419;35,750;2,19737;-3,54372;35,750;1,22958;-5,36074;35,750;0,04602;-4,46460;35,750;0,05135;-9,57283;35,750;0,04352;-5,13886;35,750;0,03123;-5,52135;35,750;32,57291;0,00000;35,750;1,71355;0,00000;35,750;0,02826;0,00000;35,750;0,05469;-0,00157;35,750;4,08727;0,00000;35,750;0,09033;-10,67946;35,750;0,82016;-7,23706
35,800;0,34544;-9,25357;35,800;0,07738;-4,49562;35,800;0,04114;-12,37317;35,800;0,05771;-5,57162;35,800;0,04137;-2,21640;35,800;4,12834;-7,78801;35,800;0,05917;-9,03994;35,800;0,05312;-1,41215;35,800;0,05389;-5,31558;35,800;2,21194;-3,54372;35,800;1,33968;-5,37527;35,800;0,04672;-4,46264;35,800;0,04887;-9,58186;35,800;0,04437;-5,16007;35,800;0,03117;-5,52607;35,800;32,57051;0,00000;35,800;1,70007;0,00000;35,800;0,02838;0,00000;35,800;0,05438;-0,00157;35,800;4,14186;0,00000;35,800;0,09036;-10,64372;35,800;0,82553;-7,23509
35,850;0,33345;-9,27163;35,850;0,07733;-4,49562;35,850;0,04182;-12,38142;35,850;0,05815;-5,57201;35,850;0,04190;-2,23642;35,850;4,12755;-7,78801;35,850;0,05905;-9,03955;35,850;0,05334;-1,41215;35,850;0,05344;-5,31951;35,850;2,16777;-3,54372;35,850;1,07524;-5,40943;35,850;0,04681;-4,46264;35,850;0,04601;-9,59286;35,850;0,04555;-5,17460;35,850;0,03136;-5,52960;35,850;32,57368;0,00000;35,850;1,68930;0,00000;35,850;0,02824;0,00000;35,850;0,05452;-0,00157;35,850;4,14456;0,00000;35,850;0,09091;-10,58718;35,850;0,82526;-7,23509
35,900;0,32831;-9,28027;35,900;0,07756;-4,49562;35,900;0,04158;-12,40773;35,900;0,05789;-5,57319;35,900;0,04218;-2,24938;35,900;4,12834;-7,78801;35,900;0,05342;-9,03130;35,900;0,05304;-1,40115;35,900;0,05289;-5,32265;35,900;2,16138;-3,54372;35,900;1,45590;-5,41375;35,900;0,04689;-4,46264;35,900;0,04048;-9,61171;35,900;0,04530;-5,17656;35,900;0,03159;-5,53235;35,900;32,56921;0,00000;35,900;1,67177;0,00000;35,900;0,02811;0,00000;35,900;0,05447;-0,00157;35,900;4,24287;0,00000;35,900;0,09111;-10,50471;35,900;0,82538;-7,23509
35,950;0,32092;-9,28891;35,950;0,07773;-4,49562;35,950;0,03984;-12,43875;35,950;0,05783;-5,57319;35,950;0,04222;-2,25056;35,950;4,12900;-7,78801;35,950;0,05087;-9,01952;35,950;0,05267;-1,38780;35,950;0,05280;-5,32461;35,950;2,14288;-3,54372;35,950;1,18706;-5,41454;35,950;0,04666;-4,46264;35,950;0,04164;-9,63645;35,950;0,04547;-5,18324;35,950;0,03148;-5,53745;35,950;32,57475;0,00000;35,950;1,68320;0,00000;35,950;0,02808;0,00000;35,950;0,05438;-0,00157;35,950;4,21295;0,00000;35,950;0,09099;-10,42460;35,950;0,82579;-7,23509
36,000;0,31477;-9,29912;36,000;0,07738;-4,49562;36,000;0,03853;-12,48784;36,000;0,05763;-5,57319;36,000;0,04216;-2,26509;36,000;4,12917;-7,78801;36,000;0,05074;-9,01795;36,000;0,05251;-1,38701;36,000;0,05197;-5,33129;36,000;2,17479;-3,54372;36,000;1,52234;-5,41454;36,000;0,04715;-4,46264;36,000;0,04564;-9,66355;36,000;0,04561;-5,20248;36,000;0,03172;-5,54177;36,000;32,57480;0,00000;36,000;1,71262;0,00000;36,000;0,02824;0,00000;36,000;0,05411;-0,00157;36,000;4,18567;0,00000;36,000;0,09059;-10,32485;36,000;0,82553;-7,23509
36,050;0,31328;-9,30069;36,050;0,07805;-4,49287;36,050;0,03685;-12,55028;36,050;0,05643;-5,58576;36,050;0,04309;-2,27726;36,050;4,12894;-7,78801;36,050;0,05077;-9,01795;36,050;0,05263;-1,38701;36,050;0,05043;-5,34464;36,050;2,19991;-3,54372;36,050;1,28342;-5,41454;36,050;0,04668;-4,46538;36,050;0,05049;-9,68436;36,050;0,04561;-5,21348;36,050;0,03226;-5,55316;36,050;32,57330;0,00000;36,050;1,70720;0,00000;36,050;0,02847;0,00000;36,050;0,05417;-0,00157;36,050;4,12421;0,00000;36,050;0,09036;-10,25888;36,050;0,82466;-7,23509
