"Time (s) Florinda 0.02 1.5";"Light Intensity (% of scale max) Florinda 0.02 1.5";"Angle (rad) Florinda 0.02 1.5";"Time (s) Arianna 0.02 1.5";"Light Intensity (% of scale max) Arianna 0.02 1.5";"Angle (rad) Arianna 0.02 1.5";"Time (s) Antonio 0.02 1.5";"Light Intensity (% of scale max) Antonio 0.02 1.5";"Angle (rad) Antonio 0.02 1.5";"Time (s) Florinda 0.04 1.5";"Light Intensity (% of scale max) Florinda 0.04 1.5";"Angle (rad) Florinda 0.04 1.5";"Time (s) Matteo 0.04 1.5";"Light Intensity (% of scale max) Matteo 0.04 1.5";"Angle (rad) Matteo 0.04 1.5";"Time (s) Antonio 0.04 1.5";"Light Intensity (% of scale max) Antonio 0.04 1.5";"Angle (rad) Antonio 0.04 1.5";"Time (s) Arianna 0.08 1.5";"Light Intensity (% of scale max) Arianna 0.08 1.5";"Angle (rad) Arianna 0.08 1.5";"Time (s) Florinda 0.08 1.5";"Light Intensity (% of scale max) Florinda 0.08 1.5";"Angle (rad) Florinda 0.08 1.5";"Time (s) Matteo 0.08 1.5";"Light Intensity (% of scale max) Matteo 0.08 1.5";"Angle (rad) Matteo 0.08 1.5";"Time (s) Florinda 0.02 1.0 candela";"Light Intensity (% of scale max) Florinda 0.02 1.0 candela";"Angle (rad) Florinda 0.02 1.0 candela";"Time (s) Antonio 0.04 1.0 candela";"Light Intensity (% of scale max) Antonio 0.04 1.0 candela";"Angle (rad) Antonio 0.04 1.0 candela";"Time (s) Matteo 0.04 1.0";"Light Intensity (% of scale max) Matteo 0.04 1.0";"Angle (rad) Matteo 0.04 1.0";"Time (s) Arianna 0.08 1.0";"Light Intensity (% of scale max) Arianna 0.08 1.0";"Angle (rad) Arianna 0.08 1.0";"Time (s) Antonio 0.08 0.5";"Light Intensity (% of scale max) Antonio 0.08 0.5";"Angle (rad) Antonio 0.08 0.5";"Time (s) Florinda 0.04 0.5";"Light Intensity (% of scale max) Florinda 0.04 0.5";"Angle (rad) Florinda 0.04 0.5";"Time (s) Laser rumore costante sole";"Light Intensity (% of scale max) Laser rumore costante sole";"Angle (rad) Laser rumore costante sole";"Time (s) Corrente di buio t candela";"Light Intensity (% of scale max) Corrente di buio t candela";"Angle (rad) Corrente di buio t candela";"Time (s) Corrente di buio t lampadina";"Light Intensity (% of scale max) Corrente di buio t lampadina";"Angle (rad) Corrente di buio t lampadina";"Time (s) Rumore t lampadina";"Light Intensity (% of scale max) Rumore t lampadina";"Angle (rad) Rumore t lampadina";"Time (s) Rumore t candela";"Light Intensity (% of scale max) Rumore t candela";"Angle (rad) Rumore t candela";"Time (s) Rumore s lampadina";"Light Intensity (% of scale max) Rumore s lampadina";"Angle (rad) Rumore s lampadina";"Time (s) VAntonio 0.02 1.5";"Light Intensity (% of scale max) VAntonio 0.02 1.5";"Angle (rad) VAntonio 0.02 1.5"
0,500;0,02985;0,00000;0,500;0,03134;0,00157;0,500;0,04387;0,00000;0,500;0,04449;0,00000;0,500;0,03651;0,00000;0,500;0,04901;0,00000;0,500;0,04088;0,01728;0,500;0,05373;0,00157;0,500;0,04259;-0,00157;0,500;0,75548;0,00000;0,500;0,94716;0,00000;0,500;0,03529;0,00000;0,500;0,04381;0,00000;0,500;0,02785;-0,04163;0,500;0,02844;0,00000;0,500;32,64511;0,00000;0,500;1,67433;0,00000;0,500;0,03731;0,00000;0,500;0,08754;0,00000;0,500;4,69627;0,00000;0,500;0,09103;0,00000;0,500;0,04872;0,00000
0,550;0,03000;0,00000;0,550;0,03146;0,00157;0,550;0,04405;0,00000;0,550;0,04475;0,00118;0,550;0,03607;0,00000;0,550;0,04935;0,00000;0,550;0,04092;0,01728;0,550;0,05373;-0,00236;0,550;0,04269;-0,00157;0,550;0,78050;0,00000;0,550;0,98242;0,00000;0,550;0,03548;0,00000;0,550;0,04395;0,00000;0,550;0,02782;-0,05498;0,550;0,02864;0,00000;0,550;32,63051;0,00000;0,550;1,72946;0,00000;0,550;0,03719;0,00000;0,550;0,08797;0,00000;0,550;4,69531;0,00000;0,550;0,09116;0,00000;0,550;0,04887;0,00000
0,600;0,03008;0,00000;0,600;0,03156;0,00157;0,600;0,04416;0,00000;0,600;0,04501;0,00157;0,600;0,03566;0,00000;0,600;0,04941;0,00000;0,600;0,04105;0,01728;0,600;0,05402;-0,01414;0,600;0,04297;-0,00628;0,600;0,79358;0,00000;0,600;1,05769;0,00000;0,600;0,03552;0,00000;0,600;0,04417;-0,00157;0,600;0,02747;-0,07383;0,600;0,02870;0,00000;0,600;32,66443;0,00000;0,600;1,81104;0,00000;0,600;0,03712;0,00000;0,600;0,08894;0,00000;0,600;4,69290;0,00000;0,600;0,09084;0,00000;0,600;0,04865;0,00000
0,650;0,02997;0,00000;0,650;0,03127;0,00157;0,650;0,04401;0,00000;0,650;0,04517;0,00157;0,650;0,03500;0,00000;0,650;0,04987;0,00000;0,650;0,04152;0,01728;0,650;0,05447;-0,01963;0,650;0,04300;-0,01963;0,650;0,77600;0,00000;0,650;0,87843;0,00000;0,650;0,03511;0,00000;0,650;0,04401;-0,01021;0,650;0,02760;-0,09739;0,650;0,02905;0,00000;0,650;32,62241;0,00000;0,650;1,82021;0,00000;0,650;0,03714;0,00000;0,650;0,08928;0,00000;0,650;4,64145;0,00000;0,650;0,09068;0,00000;0,650;0,04897;0,00000
0,700;0,03011;0,00000;0,700;0,03145;0,00157;0,700;0,04405;0,00000;0,700;0,04538;0,00157;0,700;0,03473;0,00000;0,700;0,04984;0,00000;0,700;0,04164;0,01728;0,700;0,05452;-0,02513;0,700;0,04288;-0,02670;0,700;0,77391;0,00000;0,700;1,17102;0,00000;0,700;0,03503;0,00000;0,700;0,04385;-0,01571;0,700;0,02769;-0,12331;0,700;0,02956;0,00000;0,700;32,60951;0,00000;0,700;1,83273;0,00000;0,700;0,03712;0,00000;0,700;0,08965;0,00000;0,700;4,57527;0,00000;0,700;0,09087;0,00000;0,700;0,04887;0,00000
0,750;0,03018;0,00000;0,750;0,03142;0,00157;0,750;0,04414;0,00000;0,750;0,04553;0,00157;0,750;0,03395;0,00000;0,750;0,04977;0,00000;0,750;0,04166;0,01728;0,750;0,05490;-0,03652;0,750;0,04262;-0,02906;0,750;0,76991;0,00000;0,750;0,92157;0,00000;0,750;0,03613;0,00000;0,750;0,04355;-0,02121;0,750;0,02786;-0,13155;0,750;0,02992;0,00000;0,750;32,65382;0,00000;0,750;1,81087;0,00000;0,750;0,03685;0,00000;0,750;0,09000;0,00000;0,750;4,54695;0,00000;0,750;0,09120;0,00000;0,750;0,04918;0,00000
0,800;0,02992;0,00000;0,800;0,03154;0,00157;0,800;0,04385;0,00000;0,800;0,04565;0,00157;0,800;0,03317;0,00000;0,800;0,05013;0,00000;0,800;0,04222;0,01728;0,800;0,05508;-0,04241;0,800;0,04285;-0,03299;0,800;0,75870;0,00000;0,800;1,26309;0,00000;0,800;0,03575;0,00000;0,800;0,04356;-0,02670;0,800;0,02773;-0,13666;0,800;0,02995;0,00000;0,800;32,61815;0,00000;0,800;1,83543;0,00000;0,800;0,03659;0,00000;0,800;0,09062;0,00000;0,800;4,55423;0,00000;0,800;0,09277;0,00000;0,800;0,04922;0,00000
0,850;0,02992;0,00000;0,850;0,03139;0,00157;0,850;0,04381;0,00000;0,850;0,04613;0,00157;0,850;0,03371;0,00000;0,850;0,05031;0,00000;0,850;0,04262;0,01728;0,850;0,05518;-0,04241;0,850;0,04279;-0,03888;0,850;0,78600;0,00000;0,850;1,02612;0,00000;0,850;0,03581;0,00000;0,850;0,04361;-0,03770;0,850;0,02751;-0,15826;0,850;0,03024;0,00000;0,850;32,64792;0,00000;0,850;1,89383;0,00000;0,850;0,03670;0,00000;0,850;0,09109;0,00000;0,850;4,50481;0,00000;0,850;0,09346;0,00000;0,850;0,04921;0,00000
0,900;0,02991;0,00000;0,900;0,03159;0,00157;0,900;0,04379;0,00000;0,900;0,04659;0,00157;0,900;0,03372;0,00000;0,900;0,05074;0,00000;0,900;0,04340;0,01728;0,900;0,05521;-0,04241;0,900;0,04289;-0,04869;0,900;0,80328;0,00000;0,900;1,29686;0,00000;0,900;0,03566;0,00000;0,900;0,04356;-0,05812;0,900;0,02727;-0,18221;0,900;0,03035;0,00000;0,900;32,63228;0,00000;0,900;1,94662;0,00000;0,900;0,03621;0,00000;0,900;0,09152;0,00000;0,900;4,47723;0,00000;0,900;0,09250;-7,85399E-4;0,900;0,04924;0,00000
0,950;0,03015;0,00000;0,950;0,03198;0,00157;0,950;0,04396;0,00000;0,950;0,04684;0,00157;0,950;0,03275;0,00000;0,950;0,05087;0,00000;0,950;0,04308;0,01728;0,950;0,05508;-0,04477;0,950;0,04295;-0,06440;0,950;0,77797;0,00000;0,950;1,12352;0,00000;0,950;0,03552;0,00000;0,950;0,04364;-0,08796;0,950;0,02690;-0,20970;0,950;0,03070;0,00000;0,950;32,63135;0,00000;0,950;1,95029;0,00000;0,950;0,03618;0,00000;0,950;0,09203;0,00000;0,950;4,42838;0,00000;0,950;0,09122;-0,00746;0,950;0,04919;0,00000
