Time (s) Florinda 0.02 1.5	Light Intensity (% of scale max) Florinda 0.02 1.5	Position (m) Florinda 0.02 1.5	Time (s) Arianna 0.02 1.5	Light Intensity (% of scale max) Arianna 0.02 1.5	Position (m) Arianna 0.02 1.5	Time (s) Antonio 0.02 1.5	Light Intensity (% of scale max) Antonio 0.02 1.5	Position (m) Antonio 0.02 1.5	Time (s) Florinda 0.04 1.5	Light Intensity (% of scale max) Florinda 0.04 1.5	Position (m) Florinda 0.04 1.5	Time (s) Matteo 0.04 1.5	Light Intensity (% of scale max) Matteo 0.04 1.5	Position (m) Matteo 0.04 1.5	Time (s) Antonio 0.04 1.5	Light Intensity (% of scale max) Antonio 0.04 1.5	Position (m) Antonio 0.04 1.5	Time (s) Arianna 0.08 1.5	Light Intensity (% of scale max) Arianna 0.08 1.5	Position (m) Arianna 0.08 1.5	Time (s) Florinda 0.08 1.5	Light Intensity (% of scale max) Florinda 0.08 1.5	Position (m) Florinda 0.08 1.5	Time (s) Matteo 0.08 1.5	Light Intensity (% of scale max) Matteo 0.08 1.5	Position (m) Matteo 0.08 1.5	Time (s) Florinda 0.02 1.0 candela	Light Intensity (% of scale max) Florinda 0.02 1.0 candela	Position (m) Florinda 0.02 1.0 candela	Time (s) Antonio 0.04 1.0 candela	Light Intensity (% of scale max) Antonio 0.04 1.0 candela	Position (m) Antonio 0.04 1.0 candela	Time (s) Matteo 0.04 1.0	Light Intensity (% of scale max) Matteo 0.04 1.0	Position (m) Matteo 0.04 1.0	Time (s) Arianna 0.08 1.0	Light Intensity (% of scale max) Arianna 0.08 1.0	Position (m) Arianna 0.08 1.0	Time (s) Antonio 0.08 0.5	Light Intensity (% of scale max) Antonio 0.08 0.5	Position (m) Antonio 0.08 0.5	Time (s) Florinda 0.04 0.5	Light Intensity (% of scale max) Florinda 0.04 0.5	Position (m) Florinda 0.04 0.5	Time (s) Laser rumore costante sole	Light Intensity (% of scale max) Laser rumore costante sole	Position (m) Laser rumore costante sole	Time (s) Corrente di buio t candela	Light Intensity (% of scale max) Corrente di buio t candela	Position (m) Corrente di buio t candela	Time (s) Corrente di buio t lampadina	Light Intensity (% of scale max) Corrente di buio t lampadina	Position (m) Corrente di buio t lampadina	Time (s) Rumore t lampadina	Light Intensity (% of scale max) Rumore t lampadina	Position (m) Rumore t lampadina	Time (s) Rumore t candela	Light Intensity (% of scale max) Rumore t candela	Position (m) Rumore t candela	Time (s) Rumore s lampadina	Light Intensity (% of scale max) Rumore s lampadina	Position (m) Rumore s lampadina	Time (s) Antonio 2 0.02 1.5	Light Intensity (% of scale max) Antonio 2 0.02 1.5	Position (m) Antonio 2 0.02 1.5
5,500	0,0	-0,0319	5,500	0,0	-0,0281	5,500	0,0	-0,0242	5,500	0,0	-0,0131	5,500	0,0	-0,0066	5,500	0,0	-0,0413	5,500	0,0	-0,0359	5,500	0,1	-0,0070	5,500	0,0	-0,0203	5,500	1,1	-0,0123	5,500	1,3	-0,0222	5,500	0,0	-0,0168	5,500	0,0	-0,0450	5,500	0,0	-0,0272	5,500	0,0	-0,0227	5,500	32,6	0,0000	5,500	1,8	0,0000	5,500	0,0	0,0000	5,500	0,1	0,0000	5,500	4,5	0,0000	5,500	0,1	-0,0628	5,500	0,0	-0,0085
5,550	0,0	-0,0320	5,550	0,0	-0,0281	5,550	0,0	-0,0251	5,550	0,0	-0,0132	5,550	0,0	-0,0067	5,550	0,0	-0,0423	5,550	0,0	-0,0359	5,550	0,1	-0,0070	5,550	0,0	-0,0203	5,550	1,1	-0,0126	5,550	1,3	-0,0229	5,550	0,0	-0,0171	5,550	0,0	-0,0456	5,550	0,0	-0,0272	5,550	0,0	-0,0233	5,550	32,6	0,0000	5,550	1,8	0,0000	5,550	0,0	0,0000	5,550	0,1	0,0000	5,550	4,5	0,0000	5,550	0,1	-0,0638	5,550	0,0	-0,0096
5,600	0,0	-0,0320	5,600	0,0	-0,0281	5,600	0,0	-0,0260	5,600	0,0	-0,0133	5,600	0,0	-0,0068	5,600	0,0	-0,0432	5,600	0,0	-0,0359	5,600	0,1	-0,0072	5,600	0,0	-0,0203	5,600	1,2	-0,0128	5,600	1,5	-0,0237	5,600	0,0	-0,0171	5,600	0,0	-0,0458	5,600	0,0	-0,0272	5,600	0,0	-0,0239	5,600	32,6	0,0000	5,600	1,8	0,0000	5,600	0,0	0,0000	5,600	0,1	0,0000	5,600	4,5	0,0000	5,600	0,1	-0,0651	5,600	0,0	-0,0106
5,650	0,0	-0,0320	5,650	0,0	-0,0282	5,650	0,0	-0,0269	5,650	0,0	-0,0134	5,650	0,0	-0,0068	5,650	0,0	-0,0439	5,650	0,0	-0,0359	5,650	0,1	-0,0074	5,650	0,0	-0,0203	5,650	1,2	-0,0128	5,650	1,3	-0,0245	5,650	0,0	-0,0171	5,650	0,0	-0,0456	5,650	0,0	-0,0264	5,650	0,0	-0,0244	5,650	32,6	0,0000	5,650	1,8	0,0000	5,650	0,0	0,0000	5,650	0,1	0,0000	5,650	4,5	0,0000	5,650	0,1	-0,0663	5,650	0,0	-0,0117
5,700	0,0	-0,0320	5,700	0,0	-0,0288	5,700	0,0	-0,0274	5,700	0,0	-0,0141	5,700	0,0	-0,0070	5,700	0,0	-0,0445	5,700	0,0	-0,0361	5,700	0,1	-0,0075	5,700	0,0	-0,0203	5,700	1,2	-0,0128	5,700	1,2	-0,0251	5,700	0,0	-0,0171	5,700	0,0	-0,0452	5,700	0,0	-0,0264	5,700	0,0	-0,0249	5,700	32,6	0,0000	5,700	1,9	0,0000	5,700	0,0	0,0000	5,700	0,1	0,0000	5,700	4,5	0,0000	5,700	0,1	-0,0678	5,700	0,0	-0,0127
5,750	0,0	-0,0320	5,750	0,0	-0,0302	5,750	0,0	-0,0278	5,750	0,0	-0,0147	5,750	0,0	-0,0072	5,750	0,0	-0,0458	5,750	0,0	-0,0366	5,750	0,1	-0,0075	5,750	0,0	-0,0204	5,750	1,2	-0,0128	5,750	1,3	-0,0256	5,750	0,0	-0,0171	5,750	0,0	-0,0450	5,750	0,0	-0,0264	5,750	0,0	-0,0254	5,750	32,6	0,0000	5,750	1,9	0,0000	5,750	0,0	0,0000	5,750	0,1	0,0000	5,750	4,5	0,0000	5,750	0,1	-0,0690	5,750	0,0	-0,0134
5,800	0,0	-0,0320	5,800	0,0	-0,0315	5,800	0,0	-0,0285	5,800	0,0	-0,0148	5,800	0,0	-0,0081	5,800	0,0	-0,0472	5,800	0,0	-0,0377	5,800	0,1	-0,0075	5,800	0,0	-0,0207	5,800	1,2	-0,0127	5,800	1,5	-0,0260	5,800	0,0	-0,0171	5,800	0,0	-0,0450	5,800	0,0	-0,0264	5,800	0,0	-0,0257	5,800	32,6	0,0000	5,800	1,9	0,0000	5,800	0,0	0,0000	5,800	0,1	-7,5000E-5	5,800	4,5	0,0000	5,800	0,1	-0,0700	5,800	0,0	-0,0139
5,850	0,0	-0,0320	5,850	0,0	-0,0329	5,850	0,0	-0,0293	5,850	0,0	-0,0150	5,850	0,0	-0,0084	5,850	0,0	-0,0483	5,850	0,0	-0,0390	5,850	0,0	-0,0075	5,850	0,0	-0,0210	5,850	1,2	-0,0126	5,850	1,5	-0,0263	5,850	0,0	-0,0171	5,850	0,0	-0,0450	5,850	0,0	-0,0264	5,850	0,0	-0,0258	5,850	32,6	0,0000	5,850	1,9	0,0000	5,850	0,0	0,0000	5,850	0,1	-5,6250E-5	5,850	4,5	0,0000	5,850	0,1	-0,0707	5,850	0,0	-0,0143
5,900	0,0	-0,0320	5,900	0,0	-0,0339	5,900	0,0	-0,0302	5,900	0,0	-0,0158	5,900	0,0	-0,0084	5,900	0,0	-0,0488	5,900	0,0	-0,0402	5,900	0,1	-0,0075	5,900	0,0	-0,0215	5,900	1,2	-0,0126	5,900	1,5	-0,0269	5,900	0,0	-0,0171	5,900	0,0	-0,0450	5,900	0,0	-0,0264	5,900	0,0	-0,0257	5,900	32,6	0,0000	5,900	1,9	0,0000	5,900	0,0	0,0000	5,900	0,1	0,0000	5,900	4,5	0,0000	5,900	0,1	-0,0708	5,900	0,0	-0,0147
5,950	0,0	-0,0321	5,950	0,0	-0,0351	5,950	0,0	-0,0310	5,950	0,0	-0,0166	5,950	0,0	-0,0084	5,950	0,0	-0,0491	5,950	0,0	-0,0414	5,950	0,0	-0,0075	5,950	0,0	-0,0220	5,950	1,2	-0,0126	5,950	1,4	-0,0273	5,950	0,0	-0,0172	5,950	0,0	-0,0450	5,950	0,0	-0,0264	5,950	0,0	-0,0256	5,950	32,6	0,0000	5,950	1,9	0,0000	5,950	0,0	0,0000	5,950	0,1	0,0000	5,950	4,5	0,0000	5,950	0,1	-0,0706	5,950	0,0	-0,0149
6,000	0,0	-0,0322	6,000	0,0	-0,0365	6,000	0,0	-0,0317	6,000	0,0	-0,0169	6,000	0,0	-0,0085	6,000	0,0	-0,0492	6,000	0,0	-0,0427	6,000	0,0	-0,0075	6,000	0,0	-0,0226	6,000	1,2	-0,0126	6,000	1,6	-0,0275	6,000	0,0	-0,0175	6,000	0,0	-0,0450	6,000	0,0	-0,0264	6,000	0,0	-0,0255	6,000	32,6	0,0000	6,000	2,0	0,0000	6,000	0,0	0,0000	6,000	0,1	0,0000	6,000	4,5	0,0000	6,000	0,1	-0,0705	6,000	0,0	-0,0150
6,050	0,0	-0,0322	6,050	0,0	-0,0381	6,050	0,0	-0,0323	6,050	0,0	-0,0174	6,050	0,0	-0,0089	6,050	0,0	-0,0492	6,050	0,0	-0,0441	6,050	0,0	-0,0075	6,050	0,0	-0,0231	6,050	1,2	-0,0126	6,050	1,6	-0,0275	6,050	0,0	-0,0184	6,050	0,0	-0,0451	6,050	0,0	-0,0264	6,050	0,0	-0,0255	6,050	32,6	0,0000	6,050	2,0	0,0000	6,050	0,0	0,0000	6,050	0,1	0,0000	6,050	4,5	0,0000	6,050	0,1	-0,0705	6,050	0,0	-0,0150
6,100	0,0	-0,0322	6,100	0,0	-0,0394	6,100	0,0	-0,0332	6,100	0,0	-0,0183	6,100	0,0	-0,0093	6,100	0,0	-0,0489	6,100	0,0	-0,0460	6,100	0,1	-0,0075	6,100	0,0	-0,0236	6,100	1,2	-0,0126	6,100	1,5	-0,0272	6,100	0,0	-0,0189	6,100	0,0	-0,0452	6,100	0,0	-0,0265	6,100	0,0	-0,0255	6,100	32,6	0,0000	6,100	2,0	0,0000	6,100	0,0	0,0000	6,100	0,1	-1,8750E-5	6,100	4,5	0,0000	6,100	0,1	-0,0705	6,100	0,0	-0,0150
6,150	0,0	-0,0322	6,150	0,0	-0,0408	6,150	0,0	-0,0338	6,150	0,0	-0,0188	6,150	0,0	-0,0095	6,150	0,0	-0,0486	6,150	0,0	-0,0478	6,150	0,1	-0,0075	6,150	0,0	-0,0238	6,150	1,2	-0,0126	6,150	1,3	-0,0270	6,150	0,0	-0,0194	6,150	0,0	-0,0455	6,150	0,0	-0,0266	6,150	0,0	-0,0255	6,150	32,6	0,0000	6,150	2,0	0,0000	6,150	0,0	0,0000	6,150	0,1	-3,7500E-5	6,150	4,5	0,0000	6,150	0,1	-0,0705	6,150	0,0	-0,0150
6,200	0,0	-0,0322	6,200	0,0	-0,0412	6,200	0,0	-0,0342	6,200	0,0	-0,0189	6,200	0,0	-0,0097	6,200	0,0	-0,0485	6,200	0,0	-0,0493	6,200	0,1	-0,0075	6,200	0,0	-0,0238	6,200	1,2	-0,0126	6,200	1,4	-0,0270	6,200	0,0	-0,0198	6,200	0,0	-0,0461	6,200	0,0	-0,0267	6,200	0,0	-0,0255	6,200	32,6	0,0000	6,200	2,0	0,0000	6,200	0,0	0,0000	6,200	0,1	-3,7500E-5	6,200	4,5	0,0000	6,200	0,1	-0,0705	6,200	0,0	-0,0150
6,250	0,0	-0,0324	6,250	0,0	-0,0410	6,250	0,0	-0,0348	6,250	0,0	-0,0189	6,250	0,0	-0,0099	6,250	0,0	-0,0485	6,250	0,0	-0,0502	6,250	0,1	-0,0075	6,250	0,0	-0,0237	6,250	1,2	-0,0126	6,250	1,6	-0,0270	6,250	0,0	-0,0200	6,250	0,0	-0,0471	6,250	0,0	-0,0268	6,250	0,0	-0,0255	6,250	32,6	0,0000	6,250	2,0	0,0000	6,250	0,0	0,0000	6,250	0,1	-3,7500E-5	6,250	4,5	0,0000	6,250	0,1	-0,0705	6,250	0,0	-0,0146
6,300	0,0	-0,0330	6,300	0,0	-0,0404	6,300	0,0	-0,0356	6,300	0,0	-0,0188	6,300	0,0	-0,0102	6,300	0,0	-0,0485	6,300	0,0	-0,0504	6,300	0,1	-0,0075	6,300	0,0	-0,0235	6,300	1,2	-0,0126	6,300	1,5	-0,0270	6,300	0,0	-0,0200	6,300	0,0	-0,0483	6,300	0,0	-0,0270	6,300	0,0	-0,0255	6,300	32,6	0,0000	6,300	2,0	0,0000	6,300	0,0	0,0000	6,300	0,1	-3,7500E-5	6,300	4,5	0,0000	6,300	0,1	-0,0706	6,300	0,0	-0,0144
6,350	0,0	-0,0335	6,350	0,0	-0,0404	6,350	0,0	-0,0363	6,350	0,0	-0,0187	6,350	0,0	-0,0103	6,350	0,0	-0,0485	6,350	0,1	-0,0503	6,350	0,1	-0,0075	6,350	0,0	-0,0235	6,350	1,2	-0,0126	6,350	1,5	-0,0270	6,350	0,0	-0,0200	6,350	0,0	-0,0490	6,350	0,0	-0,0272	6,350	0,0	-0,0255	6,350	32,6	0,0000	6,350	1,9	0,0000	6,350	0,0	0,0000	6,350	0,1	-3,7500E-5	6,350	4,5	0,0000	6,350	0,1	-0,0706	6,350	0,0	-0,0143
6,400	0,0	-0,0342	6,400	0,0	-0,0404	6,400	0,0	-0,0370	6,400	0,0	-0,0187	6,400	0,0	-0,0103	6,400	0,0	-0,0485	6,400	0,1	-0,0499	6,400	0,1	-0,0075	6,400	0,0	-0,0235	6,400	1,1	-0,0126	6,400	1,4	-0,0270	6,400	0,0	-0,0199	6,400	0,0	-0,0498	6,400	0,0	-0,0273	6,400	0,0	-0,0255	6,400	32,6	0,0000	6,400	1,8	0,0000	6,400	0,0	0,0000	6,400	0,1	-3,7500E-5	6,400	4,5	0,0000	6,400	0,1	-0,0711	6,400	0,0	-0,0143
6,450	0,0	-0,0350	6,450	0,0	-0,0404	6,450	0,0	-0,0373	6,450	0,0	-0,0187	6,450	0,0	-0,0103	6,450	0,0	-0,0485	6,450	0,1	-0,0499	6,450	0,0	-0,0079	6,450	0,0	-0,0235	6,450	1,1	-0,0127	6,450	1,4	-0,0270	6,450	0,0	-0,0198	6,450	0,0	-0,0505	6,450	0,0	-0,0275	6,450	0,0	-0,0255	6,450	32,6	0,0000	6,450	1,7	0,0000	6,450	0,0	0,0000	6,450	0,1	-3,7500E-5	6,450	4,5	0,0000	6,450	0,1	-0,0726	6,450	0,0	-0,0143
6,500	0,0	-0,0357	6,500	0,0	-0,0405	6,500	0,0	-0,0378	6,500	0,0	-0,0187	6,500	0,0	-0,0102	6,500	0,0	-0,0485	6,500	0,1	-0,0499	6,500	0,0	-0,0086	6,500	0,0	-0,0235	6,500	1,1	-0,0128	6,500	1,6	-0,0270	6,500	0,0	-0,0198	6,500	0,0	-0,0512	6,500	0,0	-0,0279	6,500	0,0	-0,0256	6,500	32,6	0,0000	6,500	1,6	0,0000	6,500	0,0	0,0000	6,500	0,1	-3,7500E-5	6,500	4,5	0,0000	6,500	0,1	-0,0738	6,500	0,0	-0,0143
6,550	0,0	-0,0359	6,550	0,0	-0,0411	6,550	0,0	-0,0380	6,550	0,0	-0,0187	6,550	0,0	-0,0101	6,550	0,0	-0,0485	6,550	0,1	-0,0499	6,550	0,0	-0,0089	6,550	0,0	-0,0235	6,550	1,1	-0,0131	6,550	1,5	-0,0271	6,550	0,0	-0,0197	6,550	0,0	-0,0520	6,550	0,0	-0,0286	6,550	0,0	-0,0256	6,550	32,6	0,0000	6,550	1,7	0,0000	6,550	0,0	0,0000	6,550	0,1	-3,7500E-5	6,550	4,5	0,0000	6,550	0,1	-0,0750	6,550	0,0	-0,0144
6,600	0,0	-0,0363	6,600	0,0	-0,0422	6,600	0,0	-0,0382	6,600	0,0	-0,0187	6,600	0,0	-0,0101	6,600	0,0	-0,0485	6,600	0,1	-0,0499	6,600	0,0	-0,0092	6,600	0,0	-0,0238	6,600	1,1	-0,0134	6,600	1,5	-0,0273	6,600	0,0	-0,0197	6,600	0,0	-0,0528	6,600	0,0	-0,0292	6,600	0,0	-0,0256	6,600	32,6	0,0000	6,600	1,6	0,0000	6,600	0,0	0,0000	6,600	0,1	-3,7500E-5	6,600	4,5	0,0000	6,600	0,1	-0,0763	6,600	0,0	-0,0147
6,650	0,0	-0,0365	6,650	0,0	-0,0442	6,650	0,0	-0,0383	6,650	0,0	-0,0187	6,650	0,0	-0,0101	6,650	0,0	-0,0485	6,650	0,1	-0,0499	6,650	0,0	-0,0094	6,650	0,0	-0,0244	6,650	1,1	-0,0137	6,650	1,5	-0,0275	6,650	0,0	-0,0197	6,650	0,0	-0,0536	6,650	0,0	-0,0299	6,650	0,0	-0,0257	6,650	32,6	0,0000	6,650	1,6	0,0000	6,650	0,0	0,0000	6,650	0,1	-3,7500E-5	6,650	4,5	0,0000	6,650	0,1	-0,0777	6,650	0,0	-0,0150
6,700	0,0	-0,0365	6,700	0,0	-0,0461	6,700	0,0	-0,0383	6,700	0,0	-0,0187	6,700	0,0	-0,0101	6,700	0,0	-0,0486	6,700	0,0	-0,0499	6,700	0,0	-0,0095	6,700	0,0	-0,0252	6,700	1,0	-0,0139	6,700	1,5	-0,0278	6,700	0,0	-0,0200	6,700	0,0	-0,0545	6,700	0,0	-0,0304	6,700	0,0	-0,0257	6,700	32,6	0,0000	6,700	1,5	0,0000	6,700	0,0	0,0000	6,700	0,1	-3,7500E-5	6,700	4,5	0,0000	6,700	0,1	-0,0789	6,700	0,0	-0,0154
6,750	0,0	-0,0362	6,750	0,0	-0,0482	6,750	0,0	-0,0384	6,750	0,0	-0,0189	6,750	0,0	-0,0101	6,750	0,0	-0,0487	6,750	0,0	-0,0499	6,750	0,0	-0,0095	6,750	0,0	-0,0258	6,750	1,0	-0,0143	6,750	1,6	-0,0285	6,750	0,0	-0,0205	6,750	0,0	-0,0553	6,750	0,0	-0,0308	6,750	0,0	-0,0258	6,750	32,6	0,0000	6,750	1,5	0,0000	6,750	0,0	0,0000	6,750	0,1	-3,7500E-5	6,750	4,5	0,0000	6,750	0,1	-0,0803	6,750	0,0	-0,0163
6,800	0,0	-0,0362	6,800	0,0	-0,0496	6,800	0,0	-0,0383	6,800	0,0	-0,0189	6,800	0,0	-0,0101	6,800	0,0	-0,0487	6,800	0,1	-0,0499	6,800	0,0	-0,0095	6,800	0,0	-0,0264	6,800	1,0	-0,0147	6,800	1,5	-0,0295	6,800	0,0	-0,0208	6,800	0,0	-0,0555	6,800	0,0	-0,0314	6,800	0,0	-0,0259	6,800	32,6	0,0000	6,800	1,6	0,0000	6,800	0,0	0,0000	6,800	0,1	-3,7500E-5	6,800	4,4	0,0000	6,800	0,1	-0,0814	6,800	0,0	-0,0174
6,850	0,0	-0,0362	6,850	0,0	-0,0508	6,850	0,0	-0,0377	6,850	0,0	-0,0193	6,850	0,0	-0,0101	6,850	0,0	-0,0490	6,850	0,1	-0,0501	6,850	0,0	-0,0095	6,850	0,0	-0,0269	6,850	0,9	-0,0150	6,850	1,4	-0,0306	6,850	0,0	-0,0212	6,850	0,0	-0,0556	6,850	0,0	-0,0319	6,850	0,0	-0,0263	6,850	32,6	0,0000	6,850	1,6	0,0000	6,850	0,0	0,0000	6,850	0,1	-3,7500E-5	6,850	4,5	0,0000	6,850	0,1	-0,0823	6,850	0,0	-0,0185
6,900	0,0	-0,0362	6,900	0,0	-0,0522	6,900	0,0	-0,0377	6,900	0,0	-0,0197	6,900	0,0	-0,0102	6,900	0,0	-0,0491	6,900	0,1	-0,0502	6,900	0,0	-0,0095	6,900	0,0	-0,0270	6,900	0,9	-0,0152	6,900	1,4	-0,0317	6,900	0,0	-0,0215	6,900	0,0	-0,0556	6,900	0,0	-0,0322	6,900	0,0	-0,0266	6,900	32,6	0,0000	6,900	1,7	0,0000	6,900	0,0	0,0000	6,900	0,1	-3,7500E-5	6,900	4,5	0,0000	6,900	0,1	-0,0830	6,900	0,0	-0,0197
6,950	0,0	-0,0362	6,950	0,0	-0,0536	6,950	0,0	-0,0377	6,950	0,0	-0,0199	6,950	0,0	-0,0103	6,950	0,0	-0,0493	6,950	0,1	-0,0502	6,950	0,0	-0,0095	6,950	0,0	-0,0270	6,950	0,8	-0,0153	6,950	1,4	-0,0324	6,950	0,0	-0,0220	6,950	0,0	-0,0555	6,950	0,0	-0,0325	6,950	0,0	-0,0268	6,950	32,6	0,0000	6,950	1,8	0,0000	6,950	0,0	0,0000	6,950	0,1	-3,7500E-5	6,950	4,5	0,0000	6,950	0,1	-0,0841	6,950	0,0	-0,0207
7,000	0,0	-0,0362	7,000	0,0	-0,0547	7,000	0,0	-0,0377	7,000	0,0	-0,0199	7,000	0,0	-0,0103	7,000	0,0	-0,0496	7,000	0,1	-0,0508	7,000	0,0	-0,0095	7,000	0,0	-0,0268	7,000	0,8	-0,0154	7,000	1,6	-0,0327	7,000	0,0	-0,0225	7,000	0,0	-0,0554	7,000	0,0	-0,0330	7,000	0,0	-0,0268	7,000	32,6	0,0000	7,000	1,8	0,0000	7,000	0,0	0,0000	7,000	0,1	-3,7500E-5	7,000	4,5	0,0000	7,000	0,1	-0,0854	7,000	0,0	-0,0215
7,050	0,0	-0,0362	7,050	0,0	-0,0555	7,050	0,0	-0,0377	7,050	0,0	-0,0199	7,050	0,0	-0,0103	7,050	0,0	-0,0500	7,050	0,0	-0,0520	7,050	0,0	-0,0093	7,050	0,0	-0,0267	7,050	0,8	-0,0154	7,050	1,5	-0,0331	7,050	0,0	-0,0230	7,050	0,0	-0,0554	7,050	0,0	-0,0333	7,050	0,0	-0,0269	7,050	32,6	0,0000	7,050	2,0	0,0000	7,050	0,0	0,0000	7,050	0,1	-3,7500E-5	7,050	4,5	0,0000	7,050	0,1	-0,0862	7,050	0,0	-0,0222
7,100	0,0	-0,0362	7,100	0,0	-0,0556	7,100	0,0	-0,0377	7,100	0,0	-0,0200	7,100	0,0	-0,0103	7,100	0,0	-0,0503	7,100	0,0	-0,0532	7,100	0,0	-0,0093	7,100	0,0	-0,0267	7,100	0,8	-0,0153	7,100	1,2	-0,0335	7,100	0,0	-0,0231	7,100	0,0	-0,0554	7,100	0,0	-0,0335	7,100	0,0	-0,0269	7,100	32,6	0,0000	7,100	2,1	0,0000	7,100	0,0	0,0000	7,100	0,1	-3,7500E-5	7,100	4,5	0,0000	7,100	0,1	-0,0874	7,100	0,0	-0,0226
7,150	0,0	-0,0364	7,150	0,0	-0,0556	7,150	0,0	-0,0377	7,150	0,0	-0,0201	7,150	0,0	-0,0103	7,150	0,0	-0,0508	7,150	0,0	-0,0545	7,150	0,0	-0,0093	7,150	0,0	-0,0267	7,150	0,7	-0,0153	7,150	1,3	-0,0339	7,150	0,0	-0,0231	7,150	0,0	-0,0554	7,150	0,0	-0,0336	7,150	0,0	-0,0269	7,150	32,6	0,0000	7,150	2,1	0,0000	7,150	0,0	0,0000	7,150	0,1	-3,7500E-5	7,150	4,4	0,0000	7,150	0,1	-0,0884	7,150	0,0	-0,0227
7,200	0,0	-0,0368	7,200	0,0	-0,0555	7,200	0,0	-0,0377	7,200	0,0	-0,0204	7,200	0,0	-0,0103	7,200	0,0	-0,0515	7,200	0,0	-0,0559	7,200	0,0	-0,0093	7,200	0,0	-0,0267	7,200	0,7	-0,0153	7,200	1,5	-0,0348	7,200	0,0	-0,0231	7,200	0,0	-0,0554	7,200	0,0	-0,0336	7,200	0,0	-0,0270	7,200	32,6	0,0000	7,200	2,1	0,0000	7,200	0,0	0,0000	7,200	0,1	-3,7500E-5	7,200	4,4	0,0000	7,200	0,1	-0,0892	7,200	0,0	-0,0225
7,250	0,0	-0,0380	7,250	0,0	-0,0555	7,250	0,0	-0,0377	7,250	0,0	-0,0209	7,250	0,0	-0,0103	7,250	0,0	-0,0524	7,250	0,0	-0,0573	7,250	0,0	-0,0093	7,250	0,0	-0,0268	7,250	0,7	-0,0153	7,250	1,1	-0,0358	7,250	0,0	-0,0230	7,250	0,0	-0,0554	7,250	0,0	-0,0335	7,250	0,0	-0,0270	7,250	32,6	0,0000	7,250	2,0	0,0000	7,250	0,0	0,0000	7,250	0,1	-3,7500E-5	7,250	4,4	0,0000	7,250	0,1	-0,0897	7,250	0,0	-0,0224
7,300	0,0	-0,0388	7,300	0,0	-0,0555	7,300	0,0	-0,0377	7,300	0,0	-0,0211	7,300	0,0	-0,0104	7,300	0,0	-0,0532	7,300	0,0	-0,0588	7,300	0,0	-0,0093	7,300	0,0	-0,0268	7,300	0,7	-0,0153	7,300	1,1	-0,0365	7,300	0,0	-0,0229	7,300	0,0	-0,0554	7,300	0,0	-0,0331	7,300	0,0	-0,0270	7,300	32,6	0,0000	7,300	2,0	0,0000	7,300	0,0	0,0000	7,300	0,1	-3,7500E-5	7,300	4,4	0,0000	7,300	0,1	-0,0897	7,300	0,0	-0,0224
7,350	0,0	-0,0394	7,350	0,0	-0,0555	7,350	0,0	-0,0377	7,350	0,0	-0,0212	7,350	0,0	-0,0105	7,350	0,0	-0,0543	7,350	0,0	-0,0603	7,350	0,0	-0,0093	7,350	0,0	-0,0269	7,350	0,6	-0,0153	7,350	1,3	-0,0371	7,350	0,0	-0,0229	7,350	0,0	-0,0555	7,350	0,0	-0,0329	7,350	0,0	-0,0270	7,350	32,6	0,0000	7,350	2,0	0,0000	7,350	0,0	0,0000	7,350	0,1	-3,7500E-5	7,350	4,4	0,0000	7,350	0,1	-0,0895	7,350	0,0	-0,0224
7,400	0,0	-0,0403	7,400	0,0	-0,0555	7,400	0,0	-0,0378	7,400	0,0	-0,0217	7,400	0,0	-0,0105	7,400	0,0	-0,0548	7,400	0,0	-0,0617	7,400	0,0	-0,0093	7,400	0,0	-0,0270	7,400	0,7	-0,0153	7,400	1,1	-0,0373	7,400	0,0	-0,0229	7,400	0,0	-0,0556	7,400	0,0	-0,0329	7,400	0,0	-0,0270	7,400	32,6	0,0000	7,400	2,0	0,0000	7,400	0,0	0,0000	7,400	0,1	-3,7500E-5	7,400	4,3	0,0000	7,400	0,1	-0,0895	7,400	0,0	-0,0224
7,450	0,0	-0,0411	7,450	0,0	-0,0557	7,450	0,0	-0,0381	7,450	0,0	-0,0225	7,450	0,0	-0,0106	7,450	0,1	-0,0560	7,450	0,1	-0,0633	7,450	0,0	-0,0093	7,450	0,0	-0,0276	7,450	0,7	-0,0153	7,450	1,4	-0,0372	7,450	0,0	-0,0229	7,450	0,0	-0,0559	7,450	0,0	-0,0329	7,450	0,0	-0,0270	7,450	32,6	0,0000	7,450	2,0	0,0000	7,450	0,0	0,0000	7,450	0,1	-3,7500E-5	7,450	4,3	0,0000	7,450	0,1	-0,0895	7,450	0,0	-0,0222
7,500	0,0	-0,0419	7,500	0,0	-0,0567	7,500	0,0	-0,0388	7,500	0,0	-0,0229	7,500	0,0	-0,0107	7,500	0,1	-0,0569	7,500	0,1	-0,0652	7,500	0,0	-0,0093	7,500	0,0	-0,0282	7,500	0,7	-0,0153	7,500	1,2	-0,0369	7,500	0,0	-0,0232	7,500	0,0	-0,0567	7,500	0,0	-0,0329	7,500	0,0	-0,0270	7,500	32,6	0,0000	7,500	2,0	0,0000	7,500	0,0	0,0000	7,500	0,1	-3,7500E-5	7,500	4,4	0,0000	7,500	0,1	-0,0895	7,500	0,0	-0,0222
