Time (s) Florinda 0.02 1.5	Light Intensity (% of scale max) Florinda 0.02 1.5	Position (m) Florinda 0.02 1.5	Time (s) Arianna 0.02 1.5	Light Intensity (% of scale max) Arianna 0.02 1.5	Position (m) Arianna 0.02 1.5	Time (s) Antonio 0.02 1.5	Light Intensity (% of scale max) Antonio 0.02 1.5	Position (m) Antonio 0.02 1.5	Time (s) Florinda 0.04 1.5	Light Intensity (% of scale max) Florinda 0.04 1.5	Position (m) Florinda 0.04 1.5	Time (s) Matteo 0.04 1.5	Light Intensity (% of scale max) Matteo 0.04 1.5	Position (m) Matteo 0.04 1.5	Time (s) Antonio 0.04 1.5	Light Intensity (% of scale max) Antonio 0.04 1.5	Position (m) Antonio 0.04 1.5	Time (s) Arianna 0.08 1.5	Light Intensity (% of scale max) Arianna 0.08 1.5	Position (m) Arianna 0.08 1.5	Time (s) Florinda 0.08 1.5	Light Intensity (% of scale max) Florinda 0.08 1.5	Position (m) Florinda 0.08 1.5	Time (s) Matteo 0.08 1.5	Light Intensity (% of scale max) Matteo 0.08 1.5	Position (m) Matteo 0.08 1.5	Time (s) Florinda 0.02 1.0 candela	Light Intensity (% of scale max) Florinda 0.02 1.0 candela	Position (m) Florinda 0.02 1.0 candela	Time (s) Antonio 0.04 1.0 candela	Light Intensity (% of scale max) Antonio 0.04 1.0 candela	Position (m) Antonio 0.04 1.0 candela	Time (s) Matteo 0.04 1.0	Light Intensity (% of scale max) Matteo 0.04 1.0	Position (m) Matteo 0.04 1.0	Time (s) Arianna 0.08 1.0	Light Intensity (% of scale max) Arianna 0.08 1.0	Position (m) Arianna 0.08 1.0	Time (s) Antonio 0.08 0.5	Light Intensity (% of scale max) Antonio 0.08 0.5	Position (m) Antonio 0.08 0.5	Time (s) Florinda 0.04 0.5	Light Intensity (% of scale max) Florinda 0.04 0.5	Position (m) Florinda 0.04 0.5	Time (s) Laser rumore costante sole	Light Intensity (% of scale max) Laser rumore costante sole	Position (m) Laser rumore costante sole	Time (s) Corrente di buio t candela	Light Intensity (% of scale max) Corrente di buio t candela	Position (m) Corrente di buio t candela	Time (s) Corrente di buio t lampadina	Light Intensity (% of scale max) Corrente di buio t lampadina	Position (m) Corrente di buio t lampadina	Time (s) Rumore t lampadina	Light Intensity (% of scale max) Rumore t lampadina	Position (m) Rumore t lampadina	Time (s) Rumore t candela	Light Intensity (% of scale max) Rumore t candela	Position (m) Rumore t candela	Time (s) Rumore s lampadina	Light Intensity (% of scale max) Rumore s lampadina	Position (m) Rumore s lampadina	Time (s) Antonio 2 0.02 1.5	Light Intensity (% of scale max) Antonio 2 0.02 1.5	Position (m) Antonio 2 0.02 1.5
0,500	0,0	0,0000	0,500	0,0	3,7500E-5	0,500	0,0	0,0000	0,500	0,0	0,0000	0,500	0,0	0,0000	0,500	0,0	0,0000	0,500	0,0	4,1250E-4	0,500	0,1	3,7500E-5	0,500	0,0	-3,7500E-5	0,500	0,8	0,0000	0,500	0,9	0,0000	0,500	0,0	0,0000	0,500	0,0	0,0000	0,500	0,0	-9,9375E-4	0,500	0,0	0,0000	0,500	32,6	0,0000	0,500	1,7	0,0000	0,500	0,0	0,0000	0,500	0,1	0,0000	0,500	4,7	0,0000	0,500	0,1	0,0000	0,500	0,0	0,0000
0,550	0,0	0,0000	0,550	0,0	3,7500E-5	0,550	0,0	0,0000	0,550	0,0	2,8125E-5	0,550	0,0	0,0000	0,550	0,0	0,0000	0,550	0,0	4,1250E-4	0,550	0,1	-5,6250E-5	0,550	0,0	-3,7500E-5	0,550	0,8	0,0000	0,550	1,0	0,0000	0,550	0,0	0,0000	0,550	0,0	0,0000	0,550	0,0	-0,0013	0,550	0,0	0,0000	0,550	32,6	0,0000	0,550	1,7	0,0000	0,550	0,0	0,0000	0,550	0,1	0,0000	0,550	4,7	0,0000	0,550	0,1	0,0000	0,550	0,0	0,0000
0,600	0,0	0,0000	0,600	0,0	3,7500E-5	0,600	0,0	0,0000	0,600	0,0	3,7500E-5	0,600	0,0	0,0000	0,600	0,0	0,0000	0,600	0,0	4,1250E-4	0,600	0,1	-3,3750E-4	0,600	0,0	-1,5000E-4	0,600	0,8	0,0000	0,600	1,1	0,0000	0,600	0,0	0,0000	0,600	0,0	-3,7500E-5	0,600	0,0	-0,0018	0,600	0,0	0,0000	0,600	32,7	0,0000	0,600	1,8	0,0000	0,600	0,0	0,0000	0,600	0,1	0,0000	0,600	4,7	0,0000	0,600	0,1	0,0000	0,600	0,0	0,0000
0,650	0,0	0,0000	0,650	0,0	3,7500E-5	0,650	0,0	0,0000	0,650	0,0	3,7500E-5	0,650	0,0	0,0000	0,650	0,0	0,0000	0,650	0,0	4,1250E-4	0,650	0,1	-4,6875E-4	0,650	0,0	-4,6875E-4	0,650	0,8	0,0000	0,650	0,9	0,0000	0,650	0,0	0,0000	0,650	0,0	-2,4375E-4	0,650	0,0	-0,0023	0,650	0,0	0,0000	0,650	32,6	0,0000	0,650	1,8	0,0000	0,650	0,0	0,0000	0,650	0,1	0,0000	0,650	4,6	0,0000	0,650	0,1	0,0000	0,650	0,0	0,0000
0,700	0,0	0,0000	0,700	0,0	3,7500E-5	0,700	0,0	0,0000	0,700	0,0	3,7500E-5	0,700	0,0	0,0000	0,700	0,0	0,0000	0,700	0,0	4,1250E-4	0,700	0,1	-6,0000E-4	0,700	0,0	-6,3750E-4	0,700	0,8	0,0000	0,700	1,2	0,0000	0,700	0,0	0,0000	0,700	0,0	-3,7500E-4	0,700	0,0	-0,0029	0,700	0,0	0,0000	0,700	32,6	0,0000	0,700	1,8	0,0000	0,700	0,0	0,0000	0,700	0,1	0,0000	0,700	4,6	0,0000	0,700	0,1	0,0000	0,700	0,0	0,0000
0,750	0,0	0,0000	0,750	0,0	3,7500E-5	0,750	0,0	0,0000	0,750	0,0	3,7500E-5	0,750	0,0	0,0000	0,750	0,0	0,0000	0,750	0,0	4,1250E-4	0,750	0,1	-8,7187E-4	0,750	0,0	-6,9375E-4	0,750	0,8	0,0000	0,750	0,9	0,0000	0,750	0,0	0,0000	0,750	0,0	-5,0625E-4	0,750	0,0	-0,0031	0,750	0,0	0,0000	0,750	32,7	0,0000	0,750	1,8	0,0000	0,750	0,0	0,0000	0,750	0,1	0,0000	0,750	4,5	0,0000	0,750	0,1	0,0000	0,750	0,0	0,0000
0,800	0,0	0,0000	0,800	0,0	3,7500E-5	0,800	0,0	0,0000	0,800	0,0	3,7500E-5	0,800	0,0	0,0000	0,800	0,1	0,0000	0,800	0,0	4,1250E-4	0,800	0,1	-0,0010	0,800	0,0	-7,8750E-4	0,800	0,8	0,0000	0,800	1,3	0,0000	0,800	0,0	0,0000	0,800	0,0	-6,3750E-4	0,800	0,0	-0,0033	0,800	0,0	0,0000	0,800	32,6	0,0000	0,800	1,8	0,0000	0,800	0,0	0,0000	0,800	0,1	0,0000	0,800	4,6	0,0000	0,800	0,1	0,0000	0,800	0,0	0,0000
0,850	0,0	0,0000	0,850	0,0	3,7500E-5	0,850	0,0	0,0000	0,850	0,0	3,7500E-5	0,850	0,0	0,0000	0,850	0,1	0,0000	0,850	0,0	4,1250E-4	0,850	0,1	-0,0010	0,850	0,0	-9,2813E-4	0,850	0,8	0,0000	0,850	1,0	0,0000	0,850	0,0	0,0000	0,850	0,0	-9,0000E-4	0,850	0,0	-0,0038	0,850	0,0	0,0000	0,850	32,6	0,0000	0,850	1,9	0,0000	0,850	0,0	0,0000	0,850	0,1	0,0000	0,850	4,5	0,0000	0,850	0,1	0,0000	0,850	0,0	0,0000
0,900	0,0	0,0000	0,900	0,0	3,7500E-5	0,900	0,0	0,0000	0,900	0,0	3,7500E-5	0,900	0,0	0,0000	0,900	0,1	0,0000	0,900	0,0	4,1250E-4	0,900	0,1	-0,0010	0,900	0,0	-0,0012	0,900	0,8	0,0000	0,900	1,3	0,0000	0,900	0,0	0,0000	0,900	0,0	-0,0014	0,900	0,0	-0,0043	0,900	0,0	0,0000	0,900	32,6	0,0000	0,900	1,9	0,0000	0,900	0,0	0,0000	0,900	0,1	0,0000	0,900	4,5	0,0000	0,900	0,1	-1,8750E-5	0,900	0,0	0,0000
0,950	0,0	0,0000	0,950	0,0	3,7500E-5	0,950	0,0	0,0000	0,950	0,0	3,7500E-5	0,950	0,0	0,0000	0,950	0,1	0,0000	0,950	0,0	4,1250E-4	0,950	0,1	-0,0011	0,950	0,0	-0,0015	0,950	0,8	0,0000	0,950	1,1	0,0000	0,950	0,0	0,0000	0,950	0,0	-0,0021	0,950	0,0	-0,0050	0,950	0,0	0,0000	0,950	32,6	0,0000	0,950	2,0	0,0000	0,950	0,0	0,0000	0,950	0,1	0,0000	0,950	4,4	0,0000	0,950	0,1	-1,7813E-4	0,950	0,0	0,0000
