t	%	I	y
0.0	0.04413	0.04412842	0.0
0.05	0.04378	0.04377747	0.0
0.1	0.04399	0.04399109	0.0
0.15	0.04395	0.04394531	0.0
0.2	0.04401	0.04400635	0.0
0.25	0.04393	0.04393005	0.0
0.3	0.04428	0.04428101	0.0
0.35	0.04417	0.04417419	0.0
0.4	0.04402	0.04402161	0.0
0.45	0.04439	0.04438782	0.0
0.5	0.04449	0.04449463	0.0
0.55	0.04475	0.04475403	1.479375e-05
0.6	0.04501	0.04501343	1.9725e-05
0.65	0.04517	0.04516602	1.9725e-05
0.7	0.04538	0.04537964	1.9725e-05
0.75	0.04553	0.04553223	1.9725e-05
0.8	0.04565	0.0456543	1.9725e-05
0.85	0.04613	0.04612732	1.9725e-05
0.9	0.04659	0.04658508	1.9725e-05
0.95	0.04684	0.04684448	1.9725e-05
1.0	0.04741	0.04740906	1.9725e-05
1.05	0.0481	0.0480957	1.9725e-05
1.1	0.04848	0.04847717	1.9725e-05
1.15	0.04858	0.04858398	1.9725e-05
1.2	0.04893	0.04893494	1.9725e-05
1.25	0.04942	0.04942322	1.9725e-05
1.3	0.04944	0.04943848	1.9725e-05
1.35	0.04964	0.04963684	1.9725e-05
1.4	0.04964	0.04963684	1.9725e-05
1.45	0.04971	0.04971313	3.945e-05
1.5	0.04991	0.0499115	3.945e-05
1.55	0.05019	0.05018616	3.945e-05
1.6	0.05043	0.0504303	3.945e-05
1.65	0.05075	0.05075073	3.945e-05
1.7	0.05075	0.05075073	3.945e-05
1.75	0.0508	0.05079651	3.945e-05
1.8	0.05064	0.05064392	3.945e-05
1.85	0.04944	0.04943848	3.451875e-05
1.9	0.04893	0.04893494	1.9725e-05
1.95	0.04794	0.04794312	1.9725e-05
2.0	0.04684	0.04684448	1.9725e-05
2.05	0.04555	0.04554749	1.9725e-05
2.1	0.04488	0.0448761	1.9725e-05
2.15	0.04465	0.04464722	-0.00020218125
2.2	0.04442	0.04441833	-0.00043395
2.25	0.04237	0.04237366	-0.00076796
2.3	0.04218	0.04217529	-0.0008310800000000001
2.35	0.04141	0.04141235	-0.0009468
2.4	0.04056	0.04055786	-0.0011834999999999999
2.45	0.03972	0.03971863	-0.0014307200000000001
2.5	0.03908	0.03907776	-0.00145702
2.55	0.03908	0.03907776	-0.00145702
2.6	0.0386	0.03860474	-0.0015780000000000002
2.65	0.03839	0.03839111	-0.0016779400000000002
2.7	0.03831	0.03831482	-0.0018515200000000002
2.75	0.03835	0.03834534	-0.00219342
2.8	0.03856	0.03855896	-0.0024248600000000005
2.85	0.03879	0.03878784	-0.0024459
2.9	0.03877	0.03877258	-0.0024459
2.95	0.03873	0.03872681	-0.0024459
3.0	0.03845	0.03845215	-0.0024459
3.05	0.03847	0.03846741	-0.00244064
3.1	0.03862	0.03862	-0.0023564799999999998
3.15	0.03789	0.03788757	-0.0022881
3.2	0.03824	0.03823853	-0.0022881
3.25	0.03815	0.03814697	-0.0022881
3.3	0.03835	0.03834534	-0.0022881
3.35	0.03844	0.03843689	-0.0022881
3.4	0.03873	0.03872681	-0.0022881
3.45	0.03882	0.03881836	-0.0022881
3.5	0.03868	0.03868103	-0.0022881
3.55	0.03908	0.03907776	-0.00231966
3.6	0.0392	0.03919983	-0.00238804
3.65	0.03996	0.03996277	-0.00245116
3.7	0.04051	0.04051208	-0.0025353199999999998
3.75	0.04059	0.04058838	-0.0028404000000000003
3.8	0.04016	0.04016113	-0.0033927000000000002
3.85	0.04094	0.04093933	-0.00343478
3.9	0.04155	0.04154968	-0.00344004
3.95	0.04236	0.0423584	-0.0035136800000000004
4.0	0.04274	0.04273987	-0.00360836
4.05	0.04419	0.04418945	-0.0037293400000000003
4.1	0.04456	0.04455566	-0.0038976600000000003
4.15	0.04559	0.04559326	-0.00416592
4.2	0.0461	0.0460968	-0.004539380000000001
4.25	0.04674	0.04673767	-0.00481816
4.3	0.04712	0.04711914	-0.00484446
4.35	0.04726	0.04725647	-0.00491284
4.4	0.04765	0.0476532	-0.00510746
4.45	0.04594	0.04594421	-0.0056019
4.5	0.04561	0.04560852	-0.00579126
4.55	0.04521	0.04521179	-0.00579652
4.6	0.04523	0.04522705	-0.00579652
4.65	0.0452	0.04519653	-0.00579652
4.7	0.0452	0.04519653	-0.00579652
4.75	0.0457	0.04570007	-0.00579652
4.8	0.04625	0.04624939	-0.00579652
4.85	0.04721	0.04721069	-0.0057649599999999995
4.9	0.04718	0.04718018	-0.005659760000000001
4.95	0.04729	0.04728699	-0.005659760000000001
5.0	0.0479	0.04789734	-0.005659760000000001
5.05	0.04797	0.04797363	-0.0057018400000000006
5.1	0.0477	0.04769897	-0.00577022
5.15	0.0479	0.04789734	-0.00585438
5.2	0.04758	0.0475769	-0.00587542
5.25	0.04701	0.04701233	-0.00602796
5.3	0.04637	0.04637146	-0.0064224600000000005
5.35	0.0463	0.04629517	-0.00680118
5.4	0.0462	0.04620361	-0.00688534
5.45	0.04659	0.04658508	-0.00690112
5.5	0.04601	0.04600525	-0.006911640000000001
5.55	0.04555	0.04554749	-0.006953720000000001
5.6	0.04497	0.04496765	-0.007001060000000001
5.65	0.04399	0.04399109	-0.007069440000000001
5.7	0.04317	0.04316711	-0.007406080000000001
5.75	0.04247	0.04246521	-0.00771116
5.8	0.04228	0.0422821	-0.007769020000000001
5.85	0.0415	0.04150391	-0.007879480000000001
5.9	0.04141	0.04141235	-0.00830554
5.95	0.04102	0.04101562	-0.00871582
6.0	0.04057	0.04057312	-0.00889466
6.05	0.04053	0.04052734	-0.009173440000000001
6.1	0.04068	0.04067993	-0.0096258
6.15	0.04074	0.04074097	-0.00990458
6.2	0.04047	0.04046631	-0.00996244
6.25	0.04097	0.04096985	-0.00995192
6.3	0.04144	0.04144287	-0.009883540000000001
6.35	0.04181	0.04180908	-0.009841460000000002
6.4	0.0426	0.04260254	-0.009841460000000002
6.45	0.04375	0.04374695	-0.009841460000000002
6.5	0.04449	0.04449463	-0.009841460000000002
6.55	0.04483	0.04483032	-0.009841460000000002
6.6	0.04507	0.04507446	-0.009841460000000002
6.65	0.04549	0.04548645	-0.009841460000000002
6.7	0.04532	0.0453186	-0.00985198
6.75	0.04507	0.04507446	-0.009936140000000001
6.8	0.04527	0.04527283	-0.00996244
6.85	0.04521	0.04521179	-0.010136019999999999
6.9	0.04546	0.04545593	-0.01035694
6.95	0.04578	0.04577637	-0.01044636
7.0	0.04587	0.04586792	-0.01047266
7.05	0.0462	0.04620361	-0.01047792
7.1	0.04597	0.04597473	-0.010514740000000002
7.15	0.04599	0.04598999	-0.010562080000000001
7.2	0.04608	0.04608154	-0.010751440000000001
7.25	0.04675	0.04675293	-0.01097236
7.3	0.04677	0.04676819	-0.01107756
7.35	0.04684	0.04684448	-0.011135420000000002
7.4	0.04741	0.04740906	-0.011419460000000001
7.45	0.04884	0.04884338	-0.011861300000000002
7.5	0.04897	0.04896545	-0.012050660000000001
7.55	0.0493	0.04930115	-0.012187420000000001
7.6	0.05005	0.05004883	-0.01244516
7.65	0.05101	0.05101013	-0.01272394
7.7	0.05159	0.05158997	-0.012918559999999999
7.75	0.05161	0.05160522	-0.01301324
7.8	0.05167	0.05166626	-0.0130185
7.85	0.05173	0.05172729	-0.01303954
7.9	0.05171	0.05171204	-0.01320786
7.95	0.05142	0.05142212	-0.013460340000000001
8.0	0.05157	0.05157471	-0.013528720000000001
8.05	0.05151	0.05151367	-0.013528720000000001
8.1	0.05098	0.05097961	-0.013528720000000001
8.15	0.0511	0.05110168	-0.01344456
8.2	0.05087	0.0508728	-0.013413
8.25	0.05042	0.05041504	-0.013413
