t	%	I	y
6.45	1.44644	0.01445007	-0.014180960000000001
6.5	1.57924	0.01577759	-0.014191480000000001
6.55	1.51851	0.0151825	-0.014275640000000001
6.6	1.50426	0.01502991	-0.01433876
6.65	1.45274	0.01452637	-0.0144387
6.7	1.54675	0.01545715	-0.014638580000000002
6.75	1.58595	0.01585388	-0.01499626
6.8	1.4704	0.01469421	-0.01550648
6.85	1.40334	0.01402283	-0.01607982
6.9	1.37669	0.01376343	-0.0166479
6.95	1.37817	0.01377869	-0.017037140000000003
7.0	1.58315	0.01582336	-0.01722124
7.05	1.46313	0.01461792	-0.01740008
7.1	1.24629	0.01245117	-0.0175947
7.15	1.25537	0.01254272	-0.0178314
7.2	1.4563	0.01455688	-0.018325840000000003
7.25	1.12772	0.01127625	-0.01882028
7.3	1.10355	0.0110321	-0.01918322
7.35	1.25412	0.01252747	-0.01951986
7.4	1.07277	0.01072693	-0.01960928
7.45	1.42302	0.01422119	-0.01958298
7.5	1.1917	0.01190186	-0.01943044
7.55	1.01755	0.01016235	-0.019351540000000004
7.6	1.34309	0.01342773	-0.019351540000000004
7.65	1.17328	0.01171875	-0.019351540000000004
7.7	1.18225	0.0118103	-0.019351540000000004
7.75	1.36592	0.01365662	-0.019351540000000004
7.8	1.21635	0.01216125	-0.019351540000000004
7.85	1.07092	0.01069641	-0.019362060000000004
7.9	1.33543	0.01335144	-0.019456740000000004
7.95	1.1568	0.01156616	-0.019646100000000003
8.0	1.0188	0.01017761	-0.02024048
8.05	1.28999	0.01289368	-0.02079804
8.1	1.09985	0.01098633	-0.02120306
8.15	0.99585	0.00994873	-0.021518660000000002
8.2	1.26411	0.01263428	-0.0217764
8.25	1.06923	0.01068115	-0.02202362
8.3	1.39601	0.01394653	-0.022328700000000003
8.35	1.19632	0.01196289	-0.022665340000000003
8.4	1.29163	0.01290894	-0.022923080000000002
8.45	1.33809	0.0133667	-0.02338596
8.5	1.12595	0.01124573	-0.0239067
8.55	1.44025	0.01438904	-0.024295940000000002
8.6	1.02417	0.01023865	-0.02457998
8.65	1.45021	0.01449585	-0.02459576
8.7	0.96028	0.00959778	-0.02455894
8.75	1.33282	0.01332092	-0.02442744
8.8	0.82726	0.00827026	-0.02440114
8.85	1.15514	0.0115509	-0.02440114
8.9	0.69662	0.00695801	-0.02440114
8.95	0.98177	0.0098114	-0.02440114
9.0	0.92307	0.00921631	-0.02440114
9.05	0.83813	0.00837708	-0.02440114
9.1	0.91048	0.00909424	-0.02440114
9.15	0.73753	0.00737	-0.02442744
9.2	0.93205	0.00930786	-0.02450108
9.25	0.68913	0.00688171	-0.02480616
9.3	0.9666	0.00965881	-0.025405800000000003
9.35	0.77156	0.00770569	-0.02596336
9.4	1.11284	0.01112366	-0.0262737
9.45	0.81526	0.00814819	-0.02650514
9.5	1.15372	0.01153564	-0.02679444
9.55	0.83699	0.00836182	-0.027131080000000002
9.6	1.19772	0.01196289	-0.02743616
9.65	0.89157	0.00891113	-0.027778060000000004
9.7	1.26382	0.01263428	-0.02807788
9.75	0.97681	0.00976563	-0.028288280000000002
9.8	1.35205	0.01351929	-0.028325100000000002
9.85	0.95909	0.00958252	-0.028319840000000002
9.9	1.3938	0.01393127	-0.02825672
9.95	0.99434	0.00993347	-0.028177820000000003
10.0	1.38083	0.01379395	-0.028167300000000003
10.05	1.1375	0.0113678	-0.028167300000000003
10.1	1.08849	0.01087952	-0.028167300000000003
10.15	1.37083	0.01370239	-0.028167300000000003
10.2	1.35043	0.01350403	-0.02813048
10.25	1.35266	0.01351929	-0.028109440000000003
10.3	1.27271	0.01272583	-0.028119960000000003
10.35	1.37433	0.01373291	-0.028172560000000003
10.4	1.45322	0.01452637	-0.028267240000000003
10.45	1.37038	0.01370239	-0.02897734
10.5	1.19426	0.01193237	-0.03002934
10.55	1.04849	0.01048279	-0.031207580000000002
10.6	1.38266	0.01382446	-0.03213334
10.65	1.15988	0.01159668	-0.03254888
10.7	1.40454	0.01403809	-0.03279084
10.75	1.20049	0.01199341	-0.03299598
10.8	1.24417	0.01243591	-0.033138
10.85	1.26811	0.01268005	-0.03331684
10.9	1.04529	0.01045227	-0.03334314
10.95	1.33099	0.01330566	-0.0332695
11.0	0.91916	0.00918579	-0.03325898
11.05	1.22945	0.01228333	-0.03325898
11.1	1.20367	0.01202393	-0.03325898
11.15	0.95767	0.00956726	-0.03325898
11.2	1.22792	0.01226807	-0.03325898
11.25	1.09453	0.01094055	-0.03325898
11.3	0.9912	0.00990295	-0.0332958
11.35	1.30795	0.01307678	-0.03331684
11.4	1.16328	0.0116272	-0.03339574000000001
11.45	1.05487	0.01054382	-0.03349568
11.5	1.35991	0.01359558	-0.033737640000000006
11.55	1.16811	0.01167297	-0.03404798
11.6	1.31964	0.01318359	-0.034400400000000005
11.65	1.29245	0.01292419	-0.0346108
11.7	1.01169	0.01011658	-0.03493166
11.75	1.35347	0.01353455	-0.03532616
11.8	0.90891	0.00907898	-0.03568384
11.85	1.33273	0.01332092	-0.03606782000000001
11.9	0.87291	0.00872803	-0.036562260000000006
11.95	1.29385	0.01292419	-0.03704092
12.0	0.87979	0.00878906	-0.03741964
12.05	1.3613	0.01361084	-0.03778258
12.1	0.88133	0.00880432	-0.037814139999999996
12.15	1.41193	0.01411438	-0.037814139999999996
