t,I,dI,a,da,y,dy
95.8,0.05548096,0.001,-14.30054044,0.0031415926535897933,-0.0809802749538744,3.945e-05
95.75,0.05395508,0.001,-14.28208357,0.0031415926535897933,-0.08074850603861801,3.945e-05
95.7,0.05345154,0.001,-14.2636267,0.0031415926535897933,-0.08051673712336159,3.945e-05
95.65,0.05278015,0.001,-14.24988222,0.0031415926535897933,-0.08034414322090878,3.945e-05
95.6,0.05264282,0.001,-14.23456695,0.0031415926535897933,-0.0801518243979036,3.945e-05
95.55,0.05220032,0.001,-14.21846627,0.0031415926535897933,-0.07994964292626248,3.945e-05
95.5,0.0521698,0.001,-14.20864879,0.0031415926535897933,-0.07982636163912381,3.945e-05
95.45,0.05203247,0.001,-14.1988313,0.0031415926535897933,-0.0797030802264118,3.945e-05
95.4,0.05221558,0.001,-14.19215541,0.0031415926535897933,-0.07961924890595111,3.945e-05
95.35,0.05192566,0.001,-14.17134235,0.0031415926535897933,-0.07935789254707949,3.945e-05
95.3,0.05133057,0.001,-14.1395337,0.0031415926535897933,-0.0789584609909018,3.945e-05
95.25,0.05107117,0.001,-14.13010891,0.0031415926535897933,-0.0788401108397213,3.945e-05
95.2,0.05137634,0.001,-14.12775272,0.0031415926535897933,-0.0788105233961061,3.945e-05
95.15,0.05142212,0.001,-14.12461112,0.0031415926535897933,-0.07877107330385479,3.945e-05
94.2,0.05058289,0.001,-14.12304032,0.0031415926535897933,-0.07875134825772918,3.945e-05
94.25,0.05082703,0.001,-14.12304032,0.0031415926535897933,-0.07875134825772918,3.945e-05
94.3,0.05073547,0.001,-14.12304032,0.0031415926535897933,-0.07875134825772918,3.945e-05
94.35,0.05076599,0.001,-14.12304032,0.0031415926535897933,-0.07875134825772918,3.945e-05
94.4,0.05070496,0.001,-14.12304032,0.0031415926535897933,-0.07875134825772918,3.945e-05
94.45,0.05082703,0.001,-14.12304032,0.0031415926535897933,-0.07875134825772918,3.945e-05
94.5,0.05062866,0.001,-14.12304032,0.0031415926535897933,-0.07875134825772918,3.945e-05
94.55,0.05085754,0.001,-14.12304032,0.0031415926535897933,-0.07875134825772918,3.945e-05
95.1,0.05117798,0.001,-14.11675713,0.0031415926535897933,-0.07867244819879989,3.945e-05
94.6,0.05099487,0.001,-14.11675713,0.0031415926535897933,-0.07867244819879989,3.945e-05
94.15,0.05039978,0.001,-14.11440094,0.0031415926535897933,-0.07864286075518469,3.945e-05
95.05,0.05111694,0.001,-14.10890315,0.0031415926535897933,-0.0785738232193182,3.945e-05
94.7,0.05152893,0.001,-14.10733235,0.0031415926535897933,-0.0785540981731926,3.945e-05
94.75,0.05117798,0.001,-14.10733235,0.0031415926535897933,-0.0785540981731926,3.945e-05
94.8,0.05117798,0.001,-14.10733235,0.0031415926535897933,-0.0785540981731926,3.945e-05
94.85,0.05143738,0.001,-14.10733235,0.0031415926535897933,-0.0785540981731926,3.945e-05
94.9,0.05110168,0.001,-14.10733235,0.0031415926535897933,-0.0785540981731926,3.945e-05
94.95,0.05130005,0.001,-14.10733235,0.0031415926535897933,-0.0785540981731926,3.945e-05
95.0,0.05157471,0.001,-14.10733235,0.0031415926535897933,-0.0785540981731926,3.945e-05
94.65,0.05140686,0.001,-14.10733235,0.0031415926535897933,-0.0785540981731926,3.945e-05
94.1,0.04983521,0.001,-14.09790756,0.0031415926535897933,-0.0784357480220121,3.945e-05
94.05,0.04953003,0.001,-14.09201707,0.0031415926535897933,-0.0783617792246142,3.945e-05
94.0,0.04911804,0.001,-14.09005358,0.0031415926535897933,-0.07833712304253039,3.945e-05
93.95,0.04847717,0.001,-14.0755237,0.0031415926535897933,-0.0781546666170148,3.945e-05
93.9,0.0479126,0.001,-14.04842744,0.0031415926535897933,-0.07781441007364069,3.945e-05
93.85,0.04698181,0.001,-14.01779689,0.0031415926535897933,-0.0774297723020572,3.945e-05
93.8,0.04632568,0.001,-13.99109333,0.0031415926535897933,-0.0770944470202145,3.945e-05
93.75,0.04663086,0.001,-13.97931235,0.0031415926535897933,-0.0769465094254188,3.945e-05
93.7,0.04615784,0.001,-13.96831677,0.0031415926535897933,-0.0768084343536858,3.945e-05
93.65,0.04641724,0.001,-13.95849928,0.0031415926535897933,-0.0766851529409739,3.945e-05
93.6,0.04637146,0.001,-13.9502526,0.0031415926535897933,-0.0765815966999608,3.945e-05
93.55,0.04670715,0.001,-13.92394174,0.0031415926535897933,-0.07625120267964951,3.945e-05
