t,I,dI,a,da,y,dy
89.45,0.02294922,0.001,-14.30878713,0.0031415926535897933,-0.0809852062154058,3.945e-05
89.0,0.02342224,0.001,-14.30839443,0.0031415926535897933,-0.0809802749538744,3.945e-05
89.05,0.02264404,0.001,-14.30839443,0.0031415926535897933,-0.0809802749538744,3.945e-05
89.1,0.02209473,0.001,-14.30839443,0.0031415926535897933,-0.0809802749538744,3.945e-05
89.15,0.022995,0.001,-14.30839443,0.0031415926535897933,-0.0809802749538744,3.945e-05
89.4,0.02330017,0.001,-14.30839443,0.0031415926535897933,-0.0809802749538744,3.945e-05
89.25,0.02320862,0.001,-14.30839443,0.0031415926535897933,-0.0809802749538744,3.945e-05
89.35,0.02157593,0.001,-14.30839443,0.0031415926535897933,-0.0809802749538744,3.945e-05
89.2,0.02438354,0.001,-14.30839443,0.0031415926535897933,-0.0809802749538744,3.945e-05
89.3,0.02183533,0.001,-14.30839443,0.0031415926535897933,-0.0809802749538744,3.945e-05
88.8,0.02366638,0.001,-14.30682363,0.0031415926535897933,-0.0809605499077488,3.945e-05
88.95,0.0224762,0.001,-14.30682363,0.0031415926535897933,-0.0809605499077488,3.945e-05
88.9,0.02151489,0.001,-14.30682363,0.0031415926535897933,-0.0809605499077488,3.945e-05
88.85,0.02262878,0.001,-14.30682363,0.0031415926535897933,-0.0809605499077488,3.945e-05
88.75,0.02391052,0.001,-14.30486013,0.0031415926535897933,-0.0809358936000917,3.945e-05
88.7,0.02308655,0.001,-14.27697848,0.0031415926535897933,-0.08058577465922799,3.945e-05
88.65,0.02404785,0.001,-14.22671296,0.0031415926535897933,-0.0799545741877939,3.945e-05
88.6,0.02328491,0.001,-14.18901382,0.0031415926535897933,-0.0794811738342182,3.945e-05
88.55,0.02233887,0.001,-14.15799057,0.0031415926535897933,-0.07909160480110329,3.945e-05
88.1,0.02223206,0.001,-14.15131468,0.0031415926535897933,-0.0790077734806426,3.945e-05
88.15,0.02157593,0.001,-14.15013658,0.0031415926535897933,-0.07899297969604839,3.945e-05
88.05,0.02020264,0.001,-14.14660229,0.0031415926535897933,-0.07894859846783898,3.945e-05
88.5,0.02134705,0.001,-14.13246511,0.0031415926535897933,-0.07877107330385479,3.945e-05
88.2,0.02139282,0.001,-14.13089431,0.0031415926535897933,-0.07875134825772918,3.945e-05
88.3,0.02163696,0.001,-14.13089431,0.0031415926535897933,-0.07875134825772918,3.945e-05
88.25,0.0209198,0.001,-14.13089431,0.0031415926535897933,-0.07875134825772918,3.945e-05
88.35,0.02287292,0.001,-14.12971621,0.0031415926535897933,-0.07873655447313489,3.945e-05
88.4,0.0219574,0.001,-14.12932351,0.0031415926535897933,-0.0787316232116035,3.945e-05
88.45,0.02093506,0.001,-14.12932351,0.0031415926535897933,-0.0787316232116035,3.945e-05
88.0,0.01785278,0.001,-14.12304032,0.0031415926535897933,-0.07865272315267428,3.945e-05
87.95,0.01765442,0.001,-14.08730468,0.0031415926535897933,-0.07820397910675571,3.945e-05
87.9,0.01785278,0.001,-14.05471063,0.0031415926535897933,-0.07779468502751509,3.945e-05
87.85,0.01742554,0.001,-14.0126918,0.0031415926535897933,-0.07726704092266719,3.945e-05
87.8,0.01521301,0.001,-13.97067297,0.0031415926535897933,-0.0767393968178194,3.945e-05
87.75,0.01455688,0.001,-13.94004241,0.0031415926535897933,-0.07635475892066261,3.945e-05
87.7,0.01477051,0.001,-13.89056229,0.0031415926535897933,-0.0757334209722912,3.945e-05
87.65,0.01504517,0.001,-13.81987641,0.0031415926535897933,-0.0748457954035169,3.945e-05
87.6,0.015625,0.001,-13.75076132,0.0031415926535897933,-0.07397789475529488,3.945e-05
87.55,0.01478577,0.001,-13.70756438,0.0031415926535897933,-0.07343545674027958,3.945e-05
87.5,0.01524353,0.001,-13.67693383,0.0031415926535897933,-0.07305081896869599,3.945e-05
87.0,0.01626587,0.001,-13.67536304,0.0031415926535897933,-0.0730310940481436,3.945e-05
87.05,0.01538086,0.001,-13.67536304,0.0031415926535897933,-0.0730310940481436,3.945e-05
87.1,0.0171051,0.001,-13.66907985,0.0031415926535897933,-0.07295219398921439,3.945e-05
87.45,0.01611328,0.001,-13.66161856,0.0031415926535897933,-0.07285850014569091,3.945e-05
87.15,0.01742554,0.001,-13.66161856,0.0031415926535897933,-0.07285850014569091,3.945e-05
87.2,0.01589966,0.001,-13.66122586,0.0031415926535897933,-0.07285356888415949,3.945e-05
87.25,0.01556396,0.001,-13.66083316,0.0031415926535897933,-0.07284863762262798,3.945e-05
87.35,0.01698303,0.001,-13.65965506,0.0031415926535897933,-0.0728338438380338,3.945e-05
87.4,0.01678467,0.001,-13.65965506,0.0031415926535897933,-0.0728338438380338,3.945e-05
