t	I	a	y
0.0	0.02996826	0.0	0.0
0.05	0.02999878	0.0	0.0
0.1	0.03012085	0.0	0.0
0.15	0.02989197	0.0	0.0
0.2	0.02949524	0.0	0.0
0.25	0.02957153	0.0	0.0
0.3	0.02923584	0.0	0.0
0.35	0.02883911	0.0	0.0
0.4	0.02844238	0.0	0.0
0.45	0.02854919	0.0	0.0
0.5	0.02844238	0.0	0.0
0.55	0.02864075	0.0	0.0
0.6	0.02870178	0.0	0.0
0.65	0.02905273	0.0	0.0
0.7	0.02955627	0.0	0.0
0.75	0.02992249	0.0	0.0
0.8	0.029953	0.0	0.0
0.85	0.03024292	0.0	0.0
0.9	0.03034973	0.0	0.0
0.95	0.03070068	0.0	0.0
1.0	0.03065491	0.0	0.0
1.05	0.03068542	0.0	0.0
1.1	0.03067017	0.0	0.0
1.15	0.03115845	0.0	0.0
1.2	0.03115845	0.0	0.0
1.25	0.03125	0.0	0.0
1.3	0.03178406	0.0	0.0
1.35	0.0316925	0.0	0.0
1.4	0.03123474	0.0	0.0
1.45	0.03158569	0.0	0.0
1.5	0.03134155	0.0	0.0
1.55	0.03134155	0.0	0.0
1.6	0.03146362	0.0	0.0
1.65	0.03152466	0.0	0.0
1.7	0.03143311	0.0	0.0
1.75	0.03192139	0.0	0.0
1.8	0.03179932	-0.0015708	-1.972504612563031e-05
1.85	0.03189087	-0.00549779	-6.903753586645598e-05
1.9	0.03187561	-0.00863939	-0.00010848762811771662
1.95	0.03182983	-0.00942478	-0.00011835002560728168
2.0	0.03192139	-0.00942478	-0.00011835002560728168
2.05	0.03175354	-0.01335178	-0.00016766264092135744
2.1	0.03213501	-0.01806417	-0.00022683765372499828
2.15	0.03186035	-0.02748896	-0.00034518780490553003
2.2	0.03219604	-0.04241153	-0.0005325753663792677
2.25	0.0319519	-0.0604757	-0.0007594130201042659
2.3	0.03204346	-0.08011067	-0.0010059757199548944
2.35	0.0317688	-0.10445803	-0.001311713432609164
2.4	0.03131104	-0.1272346	-0.0015977262247110532
2.45	0.03140259	-0.14961846	-0.0018788076297082848
2.5	0.03121948	-0.1869249	-0.0023472767217525043
2.55	0.03138733	-0.23247803	-0.0029193021803830322
2.6	0.03141785	-0.27803116	-0.0034913276390135606
2.65	0.03118896	-0.32201349	-0.004043628051518458
2.7	0.03106689	-0.36678122	-0.004605790987086172
2.75	0.03105164	-0.39269938	-0.004931253745866071
2.8	0.03109741	-0.41154895	-0.005167953922653885
2.85	0.03086853	-0.440216	-0.005527935386580388
2.9	0.03083801	-0.47202465	-0.005927366942758151
2.95	0.03077698	-0.49676471	-0.006238035916943828
3.0	0.0308075	-0.52150477	-0.006548704891129504
3.05	0.03085327	-0.54899373	-0.006893892696035035
3.1	0.03077698	-0.55606231	-0.006982655152453871
3.15	0.0308075	-0.55606231	-0.006982655152453871
3.2	0.03096008	-0.55606231	-0.006982655152453871
3.25	0.02981567	-0.5631309	-0.007071417734445957
3.3	0.02990723	-0.57255569	-0.0071897678856264885
3.35	0.02908325	-0.57962428	-0.007278530467618575
3.4	0.02944946	-0.59061986	-0.007416605539351488
3.45	0.02937317	-0.59376145	-0.007456055506029498
3.5	0.03068542	-0.59376145	-0.007456055506029498
3.55	0.03070068	-0.59376145	-0.007456055506029498
