I	y
0.03712463	0.0
0.03710937	0.0
0.03729248	0.0
0.03694153	0.0
0.037323	0.0
0.03712463	0.0
0.03727722	0.0
0.03739929	0.0
0.0375061	0.0
0.03718567	0.0
0.03730774	0.0
0.03718567	0.0
0.03712463	0.0
0.03713989	0.0
0.03712463	0.0
0.03684998	0.0
0.03659058	0.0
0.03669739	0.0
0.03620911	0.0
0.03617859	0.0
0.03614807	0.0
0.03610229	0.0
0.03610229	0.0
0.03604126	0.0
0.03619385	0.0
0.03604126	0.0
0.03607178	0.0
0.036026	0.0
0.03596497	0.0
0.03596497	0.0
0.03578186	0.0
0.03569031	0.0
0.03565979	0.0
0.03561401	0.0
0.03556824	0.0
0.03565979	0.0
0.03553772	0.0
0.03541565	0.0
0.03535461	0.0
0.03575134	0.0
0.03561401	0.0
0.03541565	0.0
0.03562927	0.0
0.03565979	0.0
0.03541565	0.0
0.03535461	0.0
0.03530884	0.0
0.03530884	0.0
0.03527832	0.0
0.03540039	0.0
0.03549194	0.0
0.03521729	0.0
0.03544617	0.0
0.03523254	0.0
0.03521729	0.0
0.03540039	0.0
0.03521729	0.0
0.03521729	0.0
0.03529358	0.0
0.03536987	0.0
0.03523254	0.0
0.0353241	0.0
0.0350647	0.0
0.03527832	0.0
0.03517151	0.0
0.03515625	0.0
0.03536987	0.0
0.03521729	0.0
0.03536987	0.0
0.03520203	0.0
0.03536987	0.0
0.03553772	0.0
0.03535461	0.0
0.03529358	0.0
0.03504944	0.0
0.03567505	0.0
0.03530884	0.0
0.0353241	0.0
0.03529358	0.0
0.03536987	0.0
0.03536987	0.0
0.03549194	0.0
0.03553772	0.0
0.03559875	0.0
0.03527832	0.0
0.03538513	0.0
0.03562927	0.0
0.03553772	0.0
0.03515625	0.0
0.03485107	0.0
0.03517151	0.0
0.03572083	0.0
0.0358429	0.0
0.03593445	0.0
0.03581238	0.0
0.03549194	0.0
0.03533936	0.0
0.03512573	0.0
0.03507996	0.0
0.03475952	0.0
0.03492737	0.0
0.03500366	0.0
0.03518677	0.0
0.03521729	0.0
0.03514099	0.0
0.03515625	0.0
0.03547668	0.0
0.03536987	0.0
0.03570557	0.0
0.0355072	0.0
0.03565979	0.0
0.03567505	0.0
0.03579712	0.0
0.03594971	0.0
0.03587341	0.0
0.03569031	0.0
0.03561401	0.0
0.03562927	0.0
0.03544617	0.0
0.03567505	0.0
0.03556824	0.0
0.0353241	0.0
0.03529358	0.0
0.03520203	0.0
0.03556824	0.0
0.03523254	0.0
0.03530884	0.0
0.03533936	0.0
0.03533936	0.0
0.0349884	0.0
0.03512573	0.0
0.0350647	0.0
0.03511047	0.0
0.03501892	0.0
0.0350647	0.0
0.03530884	0.0
0.03500366	0.0
0.03518677	0.0
0.03511047	0.0
0.03536987	0.0
0.03515625	0.0
0.03530884	0.0
0.0352478	0.0
0.03512573	0.0
0.03535461	0.0
0.03562927	0.0
0.0355072	0.0
0.0355835	0.0
0.03572083	0.0
0.0355072	0.0
0.03578186	0.0
0.0355835	0.0
0.03608704	0.0
0.03652954	0.0
0.03663635	0.0
0.03691101	0.0
0.03718567	0.0
0.03727722	0.0
0.03715515	0.0
0.03691101	0.0
0.03633118	0.0
0.03634644	0.0
0.03578186	0.0
0.03520203	0.0
0.0349884	0.0
0.03489685	0.0
0.03501892	0.0
0.03491211	0.0
0.03465271	0.0
0.03479004	0.0
0.03485107	0.0
0.034729	0.0
0.03482056	0.0
0.03486633	0.0
0.03469849	0.0
0.03468323	0.0
0.03500366	0.0
0.03489685	0.0
0.03491211	0.0
0.03494263	0.0
0.03488159	0.0
0.03488159	0.0
0.03489685	0.0
0.03488159	0.0
0.03495789	0.0
0.034729	0.0
0.03466797	0.0
0.03491211	0.0
0.03497314	0.0
0.03486633	0.0
0.03479004	0.0
0.03485107	0.0
0.03483582	0.0
0.03494263	0.0
0.0344696	0.0
0.03475952	0.0
0.03465271	0.0
0.03451538	0.0
0.03456116	0.0
0.03450012	0.0
0.03448486	0.0
0.0345459	0.0
0.03443909	0.0
0.03424072	0.0
0.03436279	0.0
0.03443909	0.0
0.03417969	0.0
0.03422546	0.0
0.03408813	0.0
0.03419495	0.0
0.03411865	0.0
0.03419495	0.0
0.03411865	0.0
0.03379822	0.0
0.03398132	0.0
0.03381348	0.0
0.03384399	0.0
0.03343201	0.0
0.0337677	0.0
0.03384399	0.0
0.03369141	0.0
0.03367615	0.0
0.03369141	0.0
0.03369141	0.0
0.03363037	0.0
0.03385925	0.0
0.03344727	0.0
0.03372192	0.0
0.0335083	0.0
0.03349304	0.0
0.03337097	0.0
0.03330994	0.0
0.03327942	0.0
0.03334045	0.0
0.03308105	0.0
0.03312683	0.0
0.03338623	0.0
0.03305054	0.0
0.03309631	0.0
0.03323364	0.0
0.03300476	0.0
0.03312683	0.0
0.03294373	0.0
0.03289795	0.0
0.03274536	0.0
0.03259277	0.0
0.03292847	0.0
0.0328064	0.0
0.03256226	0.0
0.03276062	0.0
0.03250122	0.0
0.03244019	0.0
0.03227234	0.0
0.03266907	0.0
0.032547	0.0
0.0322876	0.0
0.03227234	0.0
0.03242493	0.0
0.03242493	0.0
0.03222656	0.0
0.03216553	0.0
0.03231812	0.0
0.03215027	0.0
0.03222656	0.0
0.03231812	0.0
0.03216553	0.0
0.03213501	0.0
0.03182983	0.0
0.0319519	0.0
0.03210449	0.0
0.03207397	0.0
0.03178406	0.0
0.03184509	0.0
0.03179932	0.0
0.03190613	0.0
0.03158569	0.0
0.03147888	0.0
0.03149414	0.0
0.03140259	0.0
0.03138733	0.0
0.03128052	0.0
0.0315094	0.0
0.03138733	0.0
0.03109741	0.0
0.03109741	0.0
0.03134155	0.0
0.03091431	0.0
0.03079224	0.0
0.03088379	0.0
0.03085327	0.0
0.0309906	0.0
0.03091431	0.0
0.03059387	0.0
0.03091431	0.0
0.03071594	0.0
0.03050232	0.0
0.03076172	0.0
0.03050232	0.0
0.03019714	0.0
0.03045654	0.0
0.03018188	0.0
0.03039551	0.0
0.03030396	0.0
0.03031921	0.0
0.03031921	0.0
0.03019714	0.0
0.03009033	0.0
0.03001404	0.0
0.02990723	0.0
0.03009033	0.0
0.03004456	0.0
0.02970886	0.0
0.03004456	0.0
0.02993774	0.0
0.02999878	0.0
0.02986145	0.0
0.02993774	0.0
0.02999878	0.0
0.02992249	0.0
0.02996826	0.0
0.02986145	0.0
0.02999878	0.0
0.02970886	0.0
0.02984619	0.0
0.02983093	0.0
0.02978516	0.0
0.02981567	0.0
0.02987671	0.0
0.03001404	0.0
0.02973938	0.0
0.02964783	0.0
0.0295105	0.0
0.02954102	0.0
0.02967834	0.0
0.02946472	0.0
